JobCode,deptcount,srhrs,midhrs,jrhrs,officecount,ptodays,pjduration,additionalassignments,teamsize,projtags,overbudget
A6267,5,1,100,15.5,2,54,100,233,12,0,1
C6856,2,6.5,110,0,1,1,16,7,4,5,0
A6357,6,51.75,40.5,24.5,1,135,293,546,13,0,1
D5142,3,0,110,7,1,23,165,100,3,0,0
C6415,5,64.5,11,42,1,12,39,101,10,8,1
10804912,7,100.25,17.5,0,2,26,56,171,10,0,0
K7503,3,0,118,0,2,3,46,51,5,5,0
A6850,5,17.25,54.5,47,2,38,78,150,11,6,0
C6467,5,32,52.25,34.5,1,5,35,128,10,0,1
C6572,4,110,9,0,1,37,188,53,4,5,0
C6896,6,5,89,25.5,1,53,120,60,8,11,1
10804499,3,17.5,55.25,47,5,190,303,296,14,11,0
J6581,6,59,61,0,2,31,66,64,11,4,1
C5946,4,102.5,17.5,0,1,41,88,117,7,0,0
C6155,5,7,113.5,0,1,52,88,83,8,5,0
D6120,4,44.5,76.5,0,1,26,44,132,10,6,1
A6754,7,28,56,37,1,48,88,253,14,0,0
10804529,5,61,45.25,15,1,73,119,62,9,5,1
B6834,7,0,5.5,116,1,8,32,122,18,4,1
B6079,3,1,80.5,40.5,2,2,7,29,7,4,1
B6388,3,122,0.25,0,2,20,98,109,4,0,0
10676576,7,59.25,14.5,48.5,1,49,51,168,15,6,0
S5436,1,8,69.75,45.25,1,104,107,353,12,7,1
C6297,5,15,90,18.5,2,86,104,282,16,5,0
B6035,8,65.5,59,0,4,30,87,168,17,0,0
A6773,4,0,90.5,35,1,5,32,50,7,6,1
F9714H,5,18,83.5,24,2,23,69,45,7,4,1
B6554,6,10,30,86,1,11,29,32,7,5,1
B6746,6,24.5,50,52,2,30,58,147,15,4,1
C6846,5,77,4,45.5,1,27,54,99,9,4,1
K7539,5,34.5,48.5,44,1,33,95,82,7,5,0
D5084,10,15.25,113,0,4,64,192,327,18,0,0
B6020,2,9.5,95,24,1,18,84,137,8,4,0
B6939,5,0,129.5,0,1,52,155,179,7,5,0
10874849,2,0,20.5,109.5,1,128,346,192,5,4,0
T5052,7,34,73.5,22.5,1,16,57,186,15,4,1
D5223,5,7,121,2,1,35,84,210,14,0,1
10804871,4,34,87,9,1,34,59,80,10,5,0
D5243,4,27,92.25,11.5,1,158,291,528,10,0,0
A6305,5,0,18.25,112.5,2,27,76,224,14,0,1
S5477,4,46.5,76.5,8,2,21,25,64,14,6,1
A6643,7,66,50,15,2,6,14,31,8,4,0
K7505,6,32,46.25,53,1,26,48,153,13,7,1
C6099,4,50.5,81.25,0,1,19,20,25,7,7,0
A6551,2,87,45,0,2,5,24,22,4,4,1
B6784,3,124,8,0,2,0,14,25,6,12,1
C6887,6,8,65,59,2,31,43,54,8,6,0
C6205,5,0,43,89,2,14,55,154,14,5,1
B6656,5,40,45.5,48,1,56,137,145,8,4,1
A6914,8,20,94.25,19.5,1,17,90,74,10,7,0
C6476,4,48,86,0,1,11,33,69,7,0,0
B6674,5,71.25,63.5,0,2,114,122,188,13,8,1
K7458,4,9,125.75,0,2,43,98,59,5,0,0
B6445,5,35,56,43.75,1,54,67,58,9,0,1
B6935,4,14.5,23.25,97.75,1,33,82,139,8,0,0
J6659R,2,0,12,123.5,1,6,64,8,4,6,1
B6651,6,15,9,112,1,0,37,73,10,6,0
B6290,4,0,36,100,2,21,57,81,9,7,1
10804332,2,97.5,32,6.75,2,16,109,161,5,6,1
B6449,8,93.5,17,26,1,16,32,76,14,0,1
D6232,4,49,88,0,1,25,30,95,14,5,1
C6669,6,14,47.75,75.25,1,15,32,107,11,4,0
A6615,5,39,36,62.5,1,6,14,43,9,0,0
10804460,4,7,131,0,2,36,90,81,8,0,0
M9139,1,0,43.25,94.75,2,40,57,139,12,10,1
A6452,6,48.5,53.75,36.5,1,146,189,250,14,0,1
A6556,3,6,133.5,0,1,19,71,64,7,5,1
B6861,4,0,3,136.5,2,8,57,85,9,4,0
A6650,6,36.75,32,71.25,1,24,51,140,12,4,1
A6627,3,13.5,97,29.75,1,21,79,118,9,0,1
A6663,6,39.5,101.5,0,3,173,220,451,13,0,1
B6254,3,6,79,56.25,1,49,123,157,9,7,1
10803546,6,96,8,37.5,2,17,53,81,13,0,0
10804683,8,54,31.25,57,2,22,60,187,13,6,0
A6333,5,34,91,18,2,15,91,58,8,0,1
D5135,5,1,60,82,1,11,35,125,12,0,1
C6508,3,3.5,118.5,21,2,12,35,93,7,0,1
A6480,8,95.75,31.5,16.25,2,58,74,223,15,8,1
C6274,7,6,6,131.5,1,96,204,140,9,7,0
S5382,2,0,79.5,64.5,1,31,109,99,5,0,1
B6925,4,84.25,41,19.5,1,26,60,161,11,7,0
S5643,1,121,24,0,1,5,52,14,3,0,1
A6277,4,80,55,10,1,72,164,262,7,10,1
J6525,4,26,87.5,31.5,2,65,190,179,8,4,0
C5665,5,17.5,30,97.5,2,167,277,263,12,0,0
A6127,4,86,60,0,1,15,81,109,8,6,0
B6208,3,15,128,4,1,18,42,12,3,0,1
B6639,5,0,69,78,1,59,155,98,8,5,0
B6873,4,2,15,130.25,1,99,210,329,10,7,0
D5143,3,9.5,82.5,55.5,1,23,102,108,6,0,0
10804924,3,0,53,95,1,43,88,36,9,4,0
F9721H,4,94.5,54,0,3,6,32,6,4,9,1
B6299,6,7.75,55,86,1,36,50,190,18,7,1
A6751,7,23,0,127,1,26,86,144,11,0,1
B6529,6,28.5,74.75,47,1,106,315,423,10,4,0
S5673,5,50.5,100,0,1,7,25,70,9,5,0
A6879,4,0,67.5,84.5,2,31,78,135,12,9,1
H9152,7,72,19.75,60.25,1,33,53,61,12,12,0
B6806,4,21,15,116.25,1,204,206,570,17,4,0
M5191,5,36,38.25,79.5,1,196,272,488,18,8,1
M9140,1,0,28,126.25,2,35,57,106,9,7,1
D6216,4,21.5,44,89,2,41,48,94,9,10,0
B6710,2,80,75,0,2,10,42,20,5,0,0
10803251,2,70,20,65,1,1,59,16,3,4,1
S5536,5,0,74,81,2,44,100,179,11,5,1
A6772,4,13,111.5,31,2,16,77,60,6,0,1
10804927,4,49,76,31,1,49,93,71,9,5,0
M5242,1,0.75,103,52.75,1,95,228,346,14,9,0
B6268,5,111.5,15,30.25,2,24,40,140,15,6,0
C6182,6,8.75,107.25,41,1,43,75,73,11,7,1
B6251,5,64,94.5,0,2,26,46,36,8,6,1
A6082,7,43,0.25,115.25,2,109,200,684,17,0,0
10804677,6,139,16,4,1,101,121,118,12,4,0
C6795,7,25.5,86.5,47,1,75,143,153,16,5,0
A6368,5,91.5,62.75,6,1,20,35,169,11,8,1
A6018,3,7,12.5,141,1,70,121,147,12,0,0
F9665,3,0,0,161,1,2,59,16,3,6,0
C6302,3,26.5,76.5,59,1,27,39,108,8,6,0
A6956,4,58,85.5,19.25,2,17,41,176,14,7,0
B6400,4,156,7,0,3,21,65,135,8,4,0
A6830,4,84,29.25,49.75,1,49,59,160,12,7,1
A6254,6,47,100,16.5,1,2,9,49,12,0,1
10804292,4,163,1,0,1,95,312,108,9,8,0
A6852,3,2,94.5,68,3,92,190,387,13,0,0
K7481,6,0,155.25,9.5,2,1,35,52,8,0,0
A6271,6,38,105.5,21.5,1,20,35,45,10,0,0
A6116,7,19,61,85.25,1,42,75,163,10,0,0
B6509,5,37.25,129,0,1,18,72,92,10,5,0
S5649,1,23.5,81,63,1,24,59,203,16,5,1
S5655,1,47,4.75,116.25,1,43,111,277,9,0,1
C6448,6,49.5,93,26,1,36,51,113,10,0,0
C6567,7,16.25,85.5,67,1,11,28,105,13,0,0
D6225,6,81,69.25,18.5,2,4,10,57,20,15,1
B6205,11,71,93,5,1,51,83,173,19,6,1
B6565,5,36.25,12,121,1,90,114,162,11,4,1
10683223,5,126.25,27,16,1,72,78,183,11,4,1
B6343,6,151.5,7.5,10.5,2,48,74,221,16,13,1
M6014,1,4.25,165.5,0,1,24,76,97,7,8,1
S5361,2,0,138,32,1,11,80,67,6,0,1
A6815,6,40,82,48,1,29,57,107,11,5,1
A6503,5,26,47,97.5,1,10,28,46,12,0,1
A6856,7,116.5,54.5,0,1,20,24,109,14,10,0
A6638,6,11,71.5,91,1,7,25,61,9,5,1
B6147,5,25,0,148.5,1,10,45,63,8,4,0
D5116,5,0,83.25,90.25,2,107,118,240,11,0,1
C6370,4,114,60,0,1,6,29,17,5,0,0
B6303,6,64.5,90.5,19,3,118,140,271,19,8,1
T5053,7,29,59,86.5,1,18,39,79,10,8,0
B6552,3,12,83.25,79.5,2,19,31,126,10,4,1
A6748,5,62.5,34.75,77.5,2,7,61,106,9,5,0
A6213,6,17,5,153,1,34,58,126,12,0,1
A6312,5,17.5,70,88,3,142,211,484,14,0,0
A6453,6,37.75,80.5,57.5,1,194,315,380,17,0,1
10645368,4,57,119,0,1,3,35,53,6,5,1
A6594,3,0,21.5,156,1,44,136,246,12,4,0
C6134,6,121.5,57,0,1,18,11,17,10,6,0
C6770,6,146.5,33,0,2,28,74,155,9,0,1
D6070,3,69,108.5,2,2,16,39,134,9,0,0
M7147,5,9,36,134.75,2,46,86,168,13,7,0
M5189,5,51.5,66.5,62.5,1,271,301,637,19,8,1
S5481,1,4,69.75,107.25,1,123,121,246,11,9,1
S5604,2,30.5,94.25,56.75,2,23,64,236,11,0,1
C5942,6,13.25,9.5,159,2,42,105,110,7,0,0
A6668,10,109,54,19,2,6,26,248,29,0,1
B6643,3,93,83,7,2,21,32,23,6,6,1
B6131,6,32.5,150.5,0,1,22,60,62,10,4,1
B6311,2,13.5,111,59,2,2,24,19,5,5,1
A6786,5,58,76.5,49,1,12,19,88,12,9,1
B6425,7,67,96.5,20.5,2,39,50,166,17,9,1
A6646,4,12,154.5,18.75,2,29,92,171,9,4,0
S5479,1,11.5,140.75,33.25,2,130,143,311,11,5,0
K7535,6,76.5,89,20,1,8,39,81,8,5,0
B6428,2,94.5,19.25,72,2,27,69,127,7,4,1
B6582,5,20,87.5,78.5,2,36,68,186,11,0,0
B6790,4,47.5,35,104,1,65,99,109,9,4,0
C6520,7,0.5,113,73.5,2,107,93,203,17,7,1
A6793,4,66.25,111.25,10,1,16,60,75,9,7,0
B6652,5,0,79,108.75,1,43,67,121,12,8,1
H9118,5,0,152.5,36.25,3,84,251,506,14,0,0
S5400,8,13,0,176.5,1,7,66,85,12,0,0
B6923,5,46.25,142.5,1,2,50,79,157,12,7,0
B6849,3,0,1,189,2,14,65,45,7,7,0
C6945,5,21.75,153,15.5,1,34,59,126,10,0,0
D6221,5,178.5,11,3,3,69,89,148,10,5,0
10645643,7,48,81.5,64,3,37,69,223,15,5,1
B6184,5,27.5,58.5,107.75,1,260,389,632,13,8,0
10646151,8,38.5,87,68.5,2,23,37,130,15,6,0
B6379,6,44.5,0,150.5,1,26,44,61,8,5,0
D6161,8,113,38,44,3,14,27,147,19,5,1
B6663,8,16.75,137.5,41,2,19,51,109,18,7,1
B6937,9,71.25,87.5,37,1,33,48,135,18,5,1
10803712,4,34,0,162,3,9,19,35,6,0,1
C6481,6,107.5,64,25,1,19,22,80,12,4,1
D5175,5,23.5,127.5,46.5,2,23,76,147,10,6,0
10657672,8,168.25,8,21.25,2,18,30,145,19,0,1
10804448,5,92,106,0,1,43,53,45,11,0,1
A6621,4,27.5,9,162,2,98,132,301,14,8,1
C6859,6,46.5,76,76,1,63,60,160,16,12,1
S5667,1,62,102,34.5,2,32,202,301,7,4,1
A6372,3,2,82.75,114,2,16,72,186,9,0,0
M8128,5,4.5,178.75,15.5,3,184,177,408,15,5,1
C6020,7,57.25,77.5,64.5,2,21,46,115,18,11,1
A6294,5,117.5,40.75,42,1,52,49,138,12,5,0
S5480,1,23.5,66.5,110.5,1,28,100,201,7,11,0
C6603,3,78.5,90,32,2,21,79,67,9,0,1
A6993,5,32,145.5,23.25,2,56,51,167,15,0,1
A6189,5,0,117.5,83.5,1,0,17,43,12,4,1
A6459,6,68,40.5,92.5,2,64,72,296,16,0,1
10804202,4,122.5,32.75,46.5,2,205,561,297,10,6,0
C6236,5,73.5,22,106.5,1,14,19,54,11,6,1
B6263,7,56.5,55,92,1,284,365,454,13,5,1
C6374,10,77.5,65.5,61,2,30,44,201,23,0,0
A6561,5,69.25,54.5,81,3,306,326,502,21,0,0
D6210,8,153.75,30.5,21,1,40,30,66,11,4,1
A6406,6,43,106.5,56.25,2,58,91,190,14,6,0
C6709,6,96,4,106,1,26,60,62,8,7,1
C6713,5,37,83,86,1,69,185,97,8,8,0
D6048,1,0,207,0,1,1,37,1,1,0,0
S5358,3,15,150.5,41.5,1,92,181,160,8,0,1
C6644,7,0.5,49.75,157,1,66,154,222,10,9,0
B6467,8,144.5,32,32.5,1,40,41,151,19,0,1
J6569,7,38.5,137.25,33.25,5,265,324,608,16,4,1
B6678,5,48,44,117.5,1,5,56,47,10,4,1
10803890,5,85,0,124.5,2,1,11,21,8,6,1
K7530,4,21,189.25,0,2,32,53,47,5,5,1
C6866,5,30,82.25,98.25,1,6,28,140,15,4,1
B6778,2,161,50,0,1,3,28,9,3,4,0
C6925,5,0,55,156.5,1,0,15,12,6,5,0
A6991,3,3,46,162.5,1,93,333,197,9,5,0
A6837,3,169,0,43,2,15,29,101,8,7,1
A6482,5,47.5,16,148.5,2,44,81,125,14,5,0
A6317,5,98.5,2,111.75,2,4,67,142,8,6,1
D5203,7,60.25,38,114.5,1,42,83,303,14,0,1
C6330,5,1,188,24,2,35,59,86,12,6,1
C6541,6,53,6.5,154,2,44,46,137,15,8,1
B6258,6,62.25,41.25,110.5,1,171,155,409,19,0,1
K7482,5,18,166,30.25,3,45,123,230,11,5,0
10804534,9,3,108.25,103.5,2,19,103,133,14,6,0
C6028,8,18.5,78.5,118,1,30,72,197,18,4,1
A6516,5,34,108,74.5,1,9,25,40,8,0,1
B6721,4,53.5,74,90,2,14,92,78,8,4,1
B6743,7,152.5,65.5,0,2,16,23,67,12,7,1
A6812,5,19,23,176,1,35,65,83,11,0,0
K7540,7,45.5,126.5,46,4,80,111,360,18,13,1
K7490,8,39,36.5,142.75,1,44,82,200,16,6,1
A6153,7,94,75,49.5,1,43,65,159,15,0,0
10803793,2,35.5,0,184,2,13,90,97,7,0,0
A6444,5,19,73.5,127.25,2,85,144,284,15,5,1
A6853,4,40,103,77,1,69,133,95,10,4,0
C6299,11,28,91,102,1,105,213,414,28,5,1
C6237,5,27,165.75,28.25,1,52,83,225,16,4,1
D5045,6,14,47.5,160.5,2,89,88,289,18,0,0
A6982,5,93,51,78.5,2,47,87,234,12,0,1
D6066,6,214.5,8.5,0,1,70,81,101,10,6,0
10804844,4,71,23,129,1,141,193,134,13,4,0
10676572,6,65.75,86.75,71,2,22,42,155,15,0,0
B6045,5,25,147.5,52,1,64,152,182,9,7,0
D5071,4,139,86,0,1,162,291,227,8,0,1
C6958,6,30,64.5,130.5,3,118,212,196,9,13,0
B6766,5,104.25,101.75,19.75,1,41,48,226,15,7,0
D5117,3,0,132,94,3,38,57,133,10,0,0
A6365,7,13.5,9.25,203.5,1,251,502,804,23,7,0
D5136,5,74.25,129.5,22.5,2,105,168,269,14,0,1
H9163,3,52,81,93.5,1,12,66,29,6,0,0
C6507,3,0,18,208.5,3,6,32,42,8,5,0
H9165,4,68.5,40,118,2,37,89,87,9,4,0
S5606,1,63,20.75,143,1,43,109,284,10,8,1
C6123,2,128,94.5,5,2,70,25,104,12,8,1
10804486,3,0,206,24,1,0,58,32,9,4,1
B6069,3,51,29,150.5,2,4,21,64,10,8,1
B6733,4,68,140.5,22,2,8,42,70,10,4,0
B6440,5,167.5,56.5,8,2,81,124,116,9,4,0
10805095,5,78,24.5,130,1,13,22,64,10,0,1
A6727,3,134,36,63,2,2,15,49,10,4,0
A6076,4,22.5,188.5,23,1,156,289,381,13,0,0
C6189,4,156,72,6,1,4,23,17,5,0,1
10805391,3,23,212,0,1,14,47,101,10,4,1
A6310,4,7,193.75,34.5,1,49,140,82,8,5,0
A6270,5,63.5,107.25,65,2,87,134,383,16,0,1
F9693,3,80,156,0,2,0,18,8,4,15,0
B6472,6,168,48.75,20.5,1,49,80,195,18,7,0
10803894,5,14,188.25,35.25,3,32,29,102,16,6,0
A6819,6,66,161.5,11,1,7,20,49,12,6,1
A6454,4,196.5,40.75,1.25,2,17,39,124,9,7,0
C5611,4,42.5,73.5,123.5,2,80,204,198,9,0,0
A6366,5,113.5,89.25,37,1,9,52,120,7,4,1
C6913,4,108,84.5,47.5,1,7,29,25,6,5,1
A6575,5,12,58.75,170,3,30,78,249,18,8,1
10804559,4,77,35,129.25,2,109,131,221,16,4,0
B6946,5,106.25,80.25,55.5,2,36,49,157,15,0,0
D5139,3,37.5,153.75,51,2,13,50,134,10,7,1
B6550,4,175.25,45.5,22,2,15,21,58,14,0,1
10646117,8,29,19.5,194.5,1,42,48,163,17,6,0
F9721,4,57.5,75,110.5,1,17,75,22,10,9,0
B6682,4,39,105,99.75,2,20,51,49,7,0,0
A6320,2,2,158,85,2,38,150,44,8,0,0
C6198,6,29.5,149.75,65.75,1,110,208,525,15,10,0
D5021,5,54,156.25,35,2,59,59,167,11,0,0
B6580,5,7,70.5,168.25,1,113,210,364,15,4,0
10804960,5,105.5,132.25,8,3,65,117,192,10,7,0
K7497,7,5,121.5,120.5,2,59,116,162,13,4,0
K7478,4,179.25,54.75,14,2,59,236,94,7,5,1
M8119,6,32.75,156,59.25,3,28,42,187,17,6,1
L5014,9,57,39,152,1,38,58,197,18,4,0
B6599,7,75,26,147.5,1,33,18,56,15,0,1
B6255,4,0,34,214.5,1,1,39,42,6,8,0
D6257,5,60,168.5,20,2,43,40,144,13,4,0
C6183,6,9,61,178.75,1,0,23,71,13,5,0
10804037,4,85,20,144,1,98,281,268,10,6,0
S5329,6,24,125.5,99.5,2,82,187,233,12,0,1
B6230,3,67,79.75,102.5,2,11,38,98,6,5,1
B6344,4,136,43.25,70,1,22,25,37,8,0,0
C6418,5,29.75,66,154.5,1,58,109,132,11,8,1
B6921,4,248.5,1.75,0,3,26,30,90,10,4,0
B6317,2,123,109.5,18,2,10,37,43,8,6,1
H9095,5,210.5,18,22.25,3,97,117,187,13,0,1
K7518,4,65,7,178.75,1,28,130,44,4,8,0
A6212,8,136,71,44,3,25,33,92,17,0,1
C6986,5,9.5,22,220,1,14,38,95,11,4,0
A6597,2,37.5,49.75,166,2,1,16,11,4,4,0
K7534,3,89.5,152,13.25,1,9,49,47,5,6,0
B6077,8,54.25,102.5,98,1,11,44,120,20,0,1
B6607,9,166.5,88.75,0,2,5,26,52,15,5,1
A6302,6,49,78,128.5,1,121,144,301,18,0,0
D5209,8,12,172.25,71.25,1,14,23,117,20,7,0
10804645,6,108.5,43,104,2,65,58,141,15,7,1
A6783,6,1,130,125,1,22,49,129,14,4,1
K7563,3,117.25,113.5,26,2,32,50,44,8,5,1
C6946,8,148.5,76,32.5,1,28,38,159,16,7,0
10874821,2,3,68.5,186,1,108,210,236,10,4,0
A6035,6,34,212.5,13,1,44,42,82,15,0,1
H9112,5,0,24,235.5,2,13,67,22,8,7,1
M7157,3,191.5,69,0.5,2,38,365,201,5,6,1
C6203,7,107.75,94.75,58.75,1,77,57,237,15,12,0
H9158,7,223.75,12,26,2,42,77,128,15,0,1
10804276,5,6,79.75,176.75,1,14,50,71,10,5,1
B6991,5,0,172.5,92,1,61,183,143,11,5,0
C6051,5,112,154,0,1,88,116,133,11,7,0
B6106,4,8,260,0,1,23,50,15,4,5,0
A6126,7,143.5,27,97.75,2,72,137,172,9,0,1
A6327,4,105.75,123.75,39,1,7,46,99,8,7,1
D6078,6,142.5,8,119.5,1,12,23,76,12,4,1
B6016,7,56.5,3,210.5,1,31,59,81,11,4,0
C6383,4,167,75,28.5,2,38,46,111,11,8,1
K7464,4,84,185.5,1,2,49,130,108,7,0,1
A6740,7,33.25,102.75,134.5,1,45,101,298,15,0,0
10803791,8,65.5,59,146.5,1,169,132,291,19,0,1
C6876,6,61.5,140,70,1,50,38,104,16,7,1
B6615,5,16,259,0,1,17,53,34,6,0,0
10683234,3,65,59,151,2,20,68,101,9,4,1
A6523,6,87,116,73,2,10,60,82,9,7,1
A6496,5,19.75,96.75,159.75,2,29,70,275,17,7,1
A6952,8,79,19.5,178.25,1,48,65,110,14,0,0
B6186,6,22,113,143.5,2,59,86,258,18,8,0
C6199,6,98,141.5,39,1,71,117,96,11,4,0
D5159,10,86,61,131.5,1,95,84,300,21,0,0
10805080,7,43.5,110,127.5,2,227,170,505,22,9,0
B6636,5,37,187,58,2,2,23,83,11,5,1
10805035,2,6,0.5,275.5,2,10,60,79,4,4,1
P5032,7,31,238.25,13,1,43,85,142,13,6,1
B6431,9,58.5,32,192,2,18,27,118,18,6,1
T5054,6,0,83.5,200,1,42,98,260,19,4,1
K7552,5,61.5,93.5,128.5,2,40,67,115,10,5,0
A6021,4,100,82.5,101,2,3,25,106,10,5,0
M7149,4,21.25,95.5,166.75,1,99,284,161,6,7,0
A6171,5,0,253,31,1,43,135,151,10,5,0
D5054,5,159.25,125,0,2,36,78,54,9,0,1
B6919,6,84,39.25,162,2,22,38,131,12,6,0
10804984,4,90,43.75,152.5,2,23,88,181,9,4,1
B6862,3,73,142,72,2,4,22,19,7,5,0
B6025,4,0,96,191,1,27,68,107,14,0,0
A6390,4,48,53,187.5,1,17,130,72,6,11,1
B6624,6,159.75,39,90.75,2,196,93,224,18,5,1
A6613,4,159.5,92,38,3,39,72,224,14,7,1
S6054,1,0,62,227.5,1,8,84,71,6,0,1
C5823,7,142.75,20.75,127,2,107,126,217,11,0,0
B6188,7,42.5,106.5,142.5,1,33,67,161,14,6,1
B6169,5,13,201,79,1,38,79,103,11,6,0
B6244,3,53.5,240,0,1,4,25,31,8,0,1
10874169,6,22.5,111,160,2,27,62,107,13,4,0
K7451,3,1,90,203,1,69,389,201,5,0,0
L5015,8,2,53,239.5,1,63,100,250,18,4,0
J6658,3,26,37.5,232,2,26,111,42,8,4,0
A6296,7,79.5,89.5,127.75,1,94,82,354,20,7,0
S5456,2,10,166.75,122,1,368,176,616,20,4,0
B6333,4,297,1.75,0,2,17,29,110,9,4,0
B6072,4,10,236,53,1,3,37,66,9,10,0
B5948,6,22,93.5,184,2,335,337,594,17,0,0
D5015,7,156.25,55.75,88,1,79,105,197,13,0,0
A6729,6,77.75,53.25,169.5,2,37,94,157,10,0,1
A6854,5,79,197,24.5,2,45,90,108,13,0,1
C6560,5,38,206.75,56,1,30,59,29,6,4,1
B6162,8,42,166.5,93,2,14,35,77,15,6,0
K7452,8,92,78.75,131.5,1,127,256,197,9,0,0
A6858,9,114,139.5,49,1,24,33,146,20,9,1
A6913,5,134,47,123,1,11,46,101,10,6,0
B6051,7,55.25,225,25,2,20,58,109,12,5,0
J6559,5,10,84.5,211.5,1,67,109,136,14,5,1
A6726,5,36.5,158.5,111,2,38,59,80,10,14,1
C5614,3,21,8,277,2,109,210,146,9,0,1
M7143,5,95.75,10,202.25,2,141,273,372,16,6,0
D5212,3,82,219,7.5,1,19,74,116,7,7,0
10804832,8,55,93,161,1,111,93,98,14,0,1
B6545,10,140.75,19.5,149,3,211,74,297,30,0,1
C6827,5,10,47.75,251.5,1,63,132,273,11,9,0
D6122,6,100.5,185,24,3,156,110,90,15,9,1
C6600,5,35,98,177.75,2,195,99,242,20,4,1
10804614,9,103.5,171.5,37,4,239,363,422,13,0,1
J6562,5,58.5,32,222,1,41,91,89,12,5,1
D5255,5,219.5,91.75,2,1,126,331,193,7,4,1
C6558,3,0,42.5,271.5,1,2,34,10,3,8,1
10657673,6,125.75,116.5,72,1,29,46,155,13,0,1
B6916,5,51.75,184.25,79,2,33,72,177,9,0,1
S5634,1,5,57.5,252.5,1,38,90,215,9,8,1
B6581,4,59.5,105.75,150,3,34,45,170,15,7,0
10803530,7,55,175.5,86.75,2,65,65,185,22,5,0
C6351,7,95,130.5,92,1,48,60,103,11,7,1
B6693,3,35,27.5,255,2,117,243,90,8,4,0
J6657,2,2.5,70.75,244.75,2,87,191,486,11,8,1
A6028,3,0,6,312,2,81,267,209,9,0,1
D5190,3,21.25,231,67,1,65,75,141,11,0,0
D5192,7,56.75,158.75,104.25,1,29,67,175,11,0,1
D5204,4,34.5,63.25,223,2,54,76,54,10,0,0
A6318,5,111.5,132.75,77,2,31,28,94,19,0,1
K7500,5,50.5,164,108.5,1,61,151,84,8,5,0
B6458,4,108,79.5,135.75,2,46,36,140,13,6,0
M8129,2,0,319.25,5,2,45,151,163,6,5,1
C6170,5,72.5,170.5,82,3,34,39,172,23,0,1
B6912,5,41,214.5,69.75,3,99,80,211,19,0,1
A6316,10,28,297.5,0,2,2,45,131,22,0,1
A6543,6,10,132.5,183.5,1,62,88,158,16,0,0
10804035,2,17,150.75,159,1,117,135,598,19,4,0
C6030,8,151,31.5,145,4,47,67,267,18,6,0
C6271,4,198.5,20.5,108.75,2,62,79,192,12,11,0
S5451,5,2,284.25,42,1,84,168,165,8,7,0
B6271,7,68.5,178.5,82,2,17,38,65,14,9,1
C5760,6,45.5,125,158.75,3,105,163,294,12,0,0
10645455,7,51.25,231,47,1,171,177,363,16,0,0
C5997,10,130,177.75,22,1,166,178,507,18,0,0
B6064,6,109.5,26.5,194,1,17,63,111,9,6,1
C6647,5,223.5,49,59.5,2,35,66,84,12,4,1
A6512,3,16,133,183,1,77,202,132,6,0,1
A6813,4,38.5,158,136,2,31,90,108,11,0,0
B6331,4,76.5,48.25,209.5,2,154,132,383,16,6,1
B6957,8,285.75,21.5,27.5,1,70,79,222,17,0,0
C6489,5,13,186.5,136,1,23,55,75,12,7,0
C6878,5,214,49.5,73,2,56,51,110,16,0,1
S5385,3,9,222.75,105.25,1,229,199,814,19,0,1
J6709,3,67.5,84,187,2,16,44,55,7,4,1
J6519,6,63.5,13.75,261.75,1,81,178,471,14,6,0
S5573,1,16.75,312.5,10,1,42,151,361,10,5,1
A6329,3,0,233,106.5,1,45,109,152,10,5,1
C6336,4,134,76.75,129,2,114,156,176,16,5,1
B6770,9,49,137.75,153.5,2,78,56,260,22,8,1
10804362,7,53,146.5,141.75,1,36,67,103,14,13,0
A6322,2,0,8.5,332.75,3,78,205,411,12,0,0
A6385,8,159.5,160.5,22.5,1,115,108,170,16,4,1
M5274,5,22,82.5,238,2,37,100,184,14,6,1
B6250,4,195.25,147.5,0,1,52,92,68,5,7,0
K7506,9,141.75,119.75,81.25,3,121,144,289,17,5,0
C6500,8,150.25,65,128,2,18,20,177,30,8,1
D5067,5,24,219.5,100,2,48,72,88,9,0,1
C6737,7,86,165.25,92.75,1,146,95,250,18,7,0
B6681,6,177.5,112,57,2,16,27,62,11,0,0
K7533,4,109.5,222.5,14.75,1,26,74,69,8,4,0
K7483,8,187.5,52,107.75,4,86,179,198,13,6,0
D6233,7,60.5,243,44,1,25,21,135,22,7,0
10805255,1,0,19,330,3,21,137,167,5,0,1
A6079,6,152,82,116,1,62,100,117,12,7,0
S5322,4,16,310.5,24,1,133,270,234,12,0,0
S5377,2,36.5,191.25,123.5,1,140,120,488,18,0,0
M5171,4,214.75,138.5,0,2,111,378,571,12,4,1
A6953,4,201.5,128,25,3,35,63,96,13,0,1
C6563,5,13.75,214,127.5,3,276,191,347,15,0,0
B6878,4,17,268.75,70.5,2,11,35,115,10,5,1
L5010,9,49,96.5,211,1,88,92,279,19,0,0
B6711,6,59,48.5,249.75,2,106,84,273,21,0,1
B6224,6,73,98.5,186,1,46,51,63,11,0,1
10804846,3,0.5,142.5,215,1,198,396,402,13,5,1
C6697,5,82.5,103,173.25,1,106,89,219,15,8,0
A6295,6,177.25,32.75,149.5,2,59,157,153,10,4,0
B6872,7,83.75,72.75,203,1,62,43,112,19,10,1
10803662,3,58,161,141,2,30,72,39,8,0,1
C6368,8,49,113,198,1,84,119,150,15,10,0
