,JobCode,deptcount,srhrs,midhrs,jrhrs,totalhrs,officecount,ptodays,pjduration,additionalassignments,teamsize,projtags,overbudget
476,S5558,1,0,0,17,17,1,19,47,23,2,4,1
464,S5703,1,0,8,9,17,1,0,28,33,5,5,0
1150,10885298,2,0,7.5,9.5,17,1,30,97,93,4,6,0
1434,10881057,4,0,0,17,17,1,12,189,46,6,8,0
1483,S5701,2,0,0,17,17,1,7,29,29,3,4,0
725,10805027,5,17,1,0,18,1,79,144,111,9,4,0
504,K7531,4,0,0,18,18,1,4,59,49,4,4,1
984,B6700,4,0,18,0,18,1,5,13,44,6,4,0
1350,B6584,2,0,0,18,18,1,10,43,22,2,4,0
592,10780666,3,0,18,0,18,2,3,114,149,5,6,1
991,10804361,4,0,18,0,18,2,4,20,46,8,7,0
1101,10875676,3,0,2,16,18,2,5,88,19,3,4,1
28,10799242,3,18.5,0,0,18.5,1,4,60,17,3,7,0
464,C6353,2,0,9,9.75,18.75,1,11,28,43,5,4,0
19,10805248,2,19,0,0,19,1,0,12,13,4,5,1
25,10817851,2,19,0,0,19,1,0,40,3,2,4,0
308,J6701,6,11,7.5,0.5,19,2,20,57,271,12,0,1
1490,C6963,5,5,9.5,4.5,19,1,9,14,45,8,5,0
611,10843770,2,1,18,0,19,1,0,4,4,2,4,0
617,A7106,2,0,19,0,19,1,2,41,10,3,8,1
321,10865350,2,3.25,16,0,19.25,1,4,21,12,3,4,0
729,D6333,5,6,2.5,11,19.5,1,9,24,28,6,8,0
568,C6752,3,5,14.5,0,19.5,1,15,41,58,7,0,1
581,C6196,4,2,17.5,0,19.5,1,12,59,106,7,4,1
510,C6947,3,7.75,12,0,19.75,1,32,168,254,5,0,0
47,A6325,2,20,0,0,20,2,2,35,21,2,6,0
24,10817442,2,20,0,0,20,2,0,56,31,3,8,1
1198,10804432,4,9,2,9,20,1,0,13,31,6,4,0
153,B6409,3,2,3.5,14.5,20,1,5,15,15,3,5,0
511,A6732,2,0,20,0,20,1,18,74,9,2,0,0
824,C6227,2,0,20,0,20,1,0,60,11,3,6,1
802,B6968,1,0,1.25,19,20.25,1,0,18,17,4,4,1
451,10803765,2,0,12.75,7.5,20.25,2,6,71,75,3,8,1
614,10845473,5,15.5,5,0,20.5,1,0,19,15,5,5,0
518,J6661,3,8.5,12,0,20.5,1,0,31,40,6,5,1
873,10919547,1,0,5,15.5,20.5,1,16,90,24,2,4,1
742,10740846,5,5.5,10.25,5,20.75,1,20,50,233,12,7,0
942,B6298,3,9.5,11.5,0,21,1,5,63,49,5,5,1
202,B6847,1,5,16,0,21,1,2,26,5,2,5,0
30,A6939,4,3,0,18,21,1,3,9,16,5,0,0
1365,B6446,3,1,1,19,21,1,3,11,60,11,4,1
1125,10804466,5,1,16,4,21,1,0,36,46,7,7,0
529,10814027,1,0,21,0,21,1,0,12,5,1,4,0
645,10841624,3,0,12,9,21,2,5,25,28,6,9,0
1059,S5689,3,0,1,20,21,1,33,50,58,5,7,1
1126,10853959,2,0,18.5,2.5,21,1,12,40,32,5,6,0
173,10804498,3,14.5,7,0,21.5,1,9,29,19,6,4,0
693,A6563,3,10,11.5,0,21.5,2,2,55,41,6,0,1
421,B6180,4,8,6,7.5,21.5,1,24,62,102,7,5,1
296,A6566,3,6.5,15,0,21.5,2,2,21,29,4,4,0
540,10890391,4,2,19.5,0,21.5,1,18,25,17,5,5,0
550,A6869,2,0,21.5,0,21.5,1,0,15,37,5,8,0
27,C6819,4,21.75,0,0,21.75,1,9,46,103,5,0,1
220,B6293,1,22,0,0,22,1,0,9,7,1,5,0
4,10803999,1,22,0,0,22,1,1,73,39,3,5,1
975,10842433,5,5,14,3,22,1,1,8,25,8,6,0
197,A7423,3,1,0,21,22,1,0,22,71,6,6,0
313,10874856,3,1,5,16,22,1,0,8,37,5,4,0
914,10898532,3,1,5,16,22,2,65,244,411,9,4,0
485,S5609,3,0,0,22,22,1,11,28,34,5,5,1
504,10889767,2,0,0,22,22,1,2,40,14,3,7,0
607,10860794,2,0,22,0,22,1,0,14,12,2,4,0
624,B7095,1,0,22,0,22,1,2,35,35,3,6,1
1498,10804858,3,0,21,1,22,1,0,17,18,5,4,1
1610,A6497,4,2.75,17.5,2,22.25,1,2,52,184,8,5,0
618,10790134,6,7.25,15.25,0,22.5,2,8,25,112,10,4,0
1289,10804045,1,0,4.5,18,22.5,1,21,198,218,4,4,0
472,M5168,1,0,23,0,23,1,28,133,219,11,11,0
552,S8305,1,0,23,0,23,1,3,40,7,1,13,1
788,10804447,2,0,10,13,23,1,84,252,92,5,4,0
814,A6567,2,0,15,8,23,2,0,25,10,2,5,0
612,10874826,2,0,23,0,23,1,11,59,34,3,4,0
35,10796814,3,23.25,0,0,23.25,3,48,110,98,4,4,0
493,S5423,2,0,0.5,23,23.5,1,14,90,93,6,4,0
830,A6502,7,12.25,9.5,2,23.75,1,53,92,213,12,4,0
246,A6425,7,24,0,0,24,1,0,32,104,11,4,0
1043,S5660,3,5,0,19,24,1,31,81,82,5,4,0
265,10826562,3,1,0,23,24,1,18,182,60,7,4,0
910,C6432,3,0,24,0,24,1,1,26,20,3,4,0
1229,10896449,3,0,0,24,24,1,5,71,30,4,10,0
1196,D6269,3,7.5,1.75,15,24.25,1,7,14,35,6,5,0
717,M5282,1,3,6,15.25,24.25,1,9,52,92,6,4,0
426,D5237,2,2.25,22,0,24.25,2,22,120,142,4,0,0
1111,10804524,3,5,19,0.5,24.5,1,0,3,10,4,4,0
1080,B6932,4,1,13.5,10,24.5,1,7,37,84,7,4,0
570,C6422,3,0,24.5,0,24.5,1,7,62,110,7,8,1
973,A7911,1,0,24.5,0,24.5,1,0,7,3,3,4,0
495,M7144,3,0,0,24.75,24.75,1,17,147,70,4,5,0
294,A6693,9,12,5,8,25,1,0,28,52,10,0,0
161,10803233,5,2,8,15,25,1,18,87,129,11,7,0
156,10868160,5,0.5,10,14.5,25,1,50,59,41,6,4,0
461,A6217,3,0,25,0,25,1,3,41,20,4,0,0
482,M6015,3,0,24.25,0.75,25,2,6,57,99,6,4,1
748,A7035,5,0,25,0,25,1,2,56,90,8,5,0
478,M5180,3,0,24.25,1,25.25,1,23,131,207,7,6,1
467,N8519,3,0,11.75,13.5,25.25,2,8,34,52,6,4,0
1331,10858534,5,0,21.5,3.75,25.25,2,3,43,192,15,4,0
836,B6590,4,5.5,20,0,25.5,2,13,39,45,5,5,0
999,10804172,3,0,19,6.5,25.5,1,0,38,34,5,6,0
4,B6433,2,26,0,0,26,1,0,19,5,2,4,0
6,B6478,1,26,0,0,26,1,0,11,2,2,6,1
1704,10780588,3,26,0,0,26,2,8,114,137,5,7,0
625,10864601,4,13,13,0,26,1,3,15,25,4,5,1
596,B6890,5,7.5,18.5,0,26,1,11,44,26,6,0,1
1485,10880084,2,3.5,0,22.5,26,2,0,25,14,4,6,0
766,B6587,2,1,13,12,26,1,48,126,26,5,8,0
387,10830690,4,3.75,22.5,0,26.25,2,78,164,209,6,7,0
1064,A6644,8,9.5,9,8,26.5,2,4,17,111,13,0,1
546,10808756,4,2.5,24,0,26.5,1,5,26,29,5,5,1
621,A6227,2,0,2.75,24,26.75,1,1,14,69,4,0,0
0,N8570,3,27,0,0,27,1,0,11,7,3,4,0
132,A6309,3,21,2,4,27,2,6,39,23,4,0,0
514,10803972,4,9,18,0,27,1,10,66,71,7,5,0
309,S5659,3,5,0,22,27,1,31,81,82,5,4,0
1100,A6809,3,2,0,25,27,1,6,88,151,8,5,0
1717,C6720,7,0,11,16,27,3,15,45,138,17,4,0
604,10869737,4,23.25,4,0,27.25,1,38,73,45,7,5,0
1052,10803954,1,5.25,7,15.25,27.5,1,40,241,396,7,5,0
1195,N8529,3,11.5,10.5,5.75,27.75,1,4,18,28,8,10,1
1071,K7528,4,3.5,24,0.25,27.75,1,24,83,59,6,4,0
1042,B6891,2,28,0,0,28,1,2,9,2,3,0,0
150,10860619,3,26,2,0,28,2,0,22,26,4,16,0
424,10813067,5,18,0,10,28,2,7,23,23,8,14,1
222,A7731,3,8,12,8,28,1,1,23,15,4,5,1
609,10803970,4,3,25,0,28,1,14,90,120,9,7,0
1638,B6297,3,2,20,6,28,2,3,63,79,8,5,0
519,10913919,2,2,26,0,28,4,31,90,49,5,4,1
441,10805011,2,0,0,28,28,1,5,45,12,4,4,0
1255,C6058,5,9,6,13.5,28.5,1,2,8,32,8,10,1
1688,10805393,2,3,0,25.5,28.5,1,32,102,38,3,7,1
20,10837045,3,28.75,0,0,28.75,1,1,18,63,4,4,0
134,B6399,3,17,12,0,29,2,53,142,246,7,0,0
59,10804705,2,14,0,15,29,1,18,87,31,3,8,0
420,10804470,4,4,12,13,29,1,0,9,22,5,7,0
943,S5600,3,2.5,25.5,1,29,1,51,214,165,8,4,1
455,B6718,4,0,27,2,29,1,0,6,21,5,4,1
481,D6133,3,0,0,29,29,1,21,131,60,6,5,0
809,10762796,3,20.75,8.5,0,29.25,1,45,109,104,5,4,0
584,G8131,5,18.25,11,0,29.25,1,76,63,89,9,8,1
476,10816119,6,0,7.75,21.5,29.25,3,8,39,170,11,6,0
9,C6621,4,29.5,0,0,29.5,2,0,10,15,5,4,0
673,10804963,4,7.5,10,12,29.5,1,5,40,64,7,5,0
722,C6388,4,6,1,22.5,29.5,3,11,71,148,8,10,0
1608,S5397,1,4,0,25.5,29.5,1,5,70,59,2,4,0
225,A7451,3,2.5,23,4,29.5,1,3,29,112,8,6,1
492,M9143,2,0,29.5,0,29.5,2,4,25,93,9,0,1
706,B6551,3,8.75,21,0,29.75,2,9,35,109,6,4,0
32,D5185,2,30,0,0,30,1,6,25,4,2,4,1
8,10847933,2,30,0,0,30,1,6,91,36,3,5,0
9,10892841,2,30,0,0,30,1,2,8,5,2,5,1
1707,10821843,3,30,0,0,30,1,18,206,50,5,9,1
584,B6708,4,22,8,0,30,1,8,9,14,6,0,1
537,D6077,4,14,16,0,30,1,3,25,34,5,5,1
388,10803971,1,12,2,16,30,1,30,197,315,5,4,0
95,A7597,5,2.75,27.25,0,30,1,7,58,123,8,5,0
523,C6951,3,2.5,27.5,0,30,1,2,9,24,5,4,1
15,A6782,5,2,0,28,30,1,28,109,108,9,0,0
992,S5685,3,2,2,26,30,1,40,51,58,5,6,1
843,B6401,2,0,10,20,30,1,0,7,23,4,4,1
752,10860596,4,0,27,3,30,1,10,42,19,6,5,0
1579,A7124,1,0,7,23,30,2,9,51,34,5,5,0
603,10805230,5,23.25,7,0,30.25,1,30,99,72,6,8,1
1061,10885606,4,8.75,15.5,6.5,30.75,1,2,11,49,7,6,0
1207,10919546,2,1.5,5,24.25,30.75,1,33,90,49,4,4,0
536,C6396,4,11,20,0,31,2,39,114,111,11,0,0
1549,10759904,6,11,17.5,2.5,31,1,28,60,321,15,7,0
895,H9158R,2,0,31,0,31,1,0,77,6,2,4,1
1012,D6034,2,0,23,8,31,1,4,54,25,2,5,1
869,10805246,2,0,31,0,31,1,2,11,14,3,5,0
1325,A6841,4,7.75,15.5,8,31.25,1,34,143,262,7,5,1
597,H9170,3,21.5,10,0,31.5,2,0,19,23,4,4,0
1154,10832602,6,3,16,12.5,31.5,1,8,7,47,12,7,0
358,D6189,4,0.5,0,31,31.5,1,5,18,31,7,7,1
1843,C6780,2,0,2.5,29,31.5,1,0,12,11,3,5,0
479,A7991,2,0,31.5,0,31.5,1,0,34,16,3,4,1
490,10804734,2,0,6,25.5,31.5,1,30,90,72,5,4,1
84,A6700,5,7,0,25,32,1,1,23,40,7,0,1
466,10837537,3,0,0,32,32,1,7,178,49,5,4,1
469,10874161,2,0,13,19,32,1,5,25,43,6,4,0
547,10883293,3,0,32,0,32,2,3,293,124,7,4,0
1343,10829808,2,0,0,32,32,1,13,190,45,4,4,0
1573,10875822,2,0,13,19,32,1,4,35,26,3,4,0
42,10805245,2,27.5,0,5,32.5,1,7,16,8,3,7,0
1022,B6078,3,20.5,12,0,32.5,2,4,30,42,6,0,0
516,10798471,4,4.5,28,0,32.5,1,1,40,87,7,6,0
966,10851964,2,0,31.5,1,32.5,1,8,72,143,9,6,0
1171,B6145,6,9.25,13,10.5,32.75,1,3,9,81,13,4,1
505,10880774,5,27.5,5.5,0,33,1,22,35,40,7,4,0
1350,10805278,3,24,3,6,33,1,8,59,25,3,4,1
291,J6551,4,22,8,3,33,1,2,25,14,5,5,1
1709,j6558,3,6,2,25,33,1,13,61,45,7,5,0
700,M8125,3,3,29.25,1,33.25,4,5,24,63,6,5,0
77,A6712,4,33.5,0,0,33.5,1,8,57,61,4,0,1
433,10805064,2,24.5,5,4,33.5,1,35,91,41,5,5,0
1151,A7422,4,11,16,6.5,33.5,1,29,69,60,8,4,0
1339,J6589,8,4.5,2,27,33.5,2,29,173,184,16,6,1
620,10826090,3,10,23.75,0,33.75,1,10,37,62,5,5,1
55,10863990,3,33,0,1,34,1,1,16,10,3,7,0
515,10813876,6,32,2,0,34,2,10,43,52,11,5,1
1245,A6491,6,30,3,1,34,1,11,65,54,6,7,0
582,10883751,3,22,12,0,34,1,0,3,5,4,4,0
648,J6834,3,11.5,3.25,19.25,34,2,7,38,49,5,4,0
459,C6001,2,0,0,34,34,2,1,8,10,3,0,0
440,10863988,2,0,0,34,34,1,8,61,17,3,5,0
553,10862730,1,0,34,0,34,1,4,44,13,2,7,0
828,10725691,5,8.75,25.5,0,34.25,2,12,58,190,10,6,0
414,A6589,5,25.5,9,0,34.5,1,2,30,64,8,0,1
83,D6239,3,12,0,22.5,34.5,1,1,12,12,4,6,1
579,10803601,2,1.5,33,0,34.5,2,1,44,32,3,5,0
545,B6781,4,0,34.5,0,34.5,2,2,51,58,5,0,1
1452,10803540,1,0,5,29.5,34.5,1,59,228,310,6,4,1
519,B6564,5,33,2,0,35,1,32,91,127,12,4,1
522,M5268,1,6,29,0,35,1,9,24,81,7,4,0
659,M7145,4,4.5,2,28.5,35,1,14,95,93,7,6,0
691,C6290,2,4,31,0,35,1,6,15,31,5,5,0
690,10861602,4,0,31,4,35,1,8,46,33,6,4,1
1745,B6557,3,9.25,9.5,16.5,35.25,1,10,39,53,6,4,0
1454,C6835,8,35.5,0,0,35.5,2,3,40,47,12,0,1
522,N8565,3,27.5,8,0,35.5,1,3,14,15,6,4,1
606,10804905,4,1.5,34,0,35.5,1,2,20,23,5,5,0
35,H9159R,2,36,0,0,36,1,4,31,1,2,0,1
1419,C6678,3,30,0,6,36,2,2,33,7,3,5,0
816,10804883,3,24,12,0,36,1,1,18,24,5,7,0
1583,A6696,3,13,19,4,36,2,4,26,27,6,4,1
664,A6699,4,2,34,0,36,1,49,149,69,7,4,0
1433,D6160,4,1,30,5,36,1,35,44,26,6,5,1
1399,10874820,2,0,24,12,36,1,0,34,20,3,4,0
197,C6907,3,21,10,5.25,36.25,1,39,73,25,4,4,0
555,M5169,4,35.5,1,0,36.5,1,8,33,47,5,4,1
898,10803778,9,35.5,1,0,36.5,2,5,94,189,17,4,1
1437,10676557,7,25.5,5,6,36.5,1,16,63,152,13,7,1
1028,10825942,4,14.5,0,22,36.5,1,15,94,10,7,16,1
1544,M5184,3,4,14,18.5,36.5,1,27,151,249,8,4,1
1563,B6150,4,4,0,32.5,36.5,1,2,7,18,5,0,0
1672,A7522,3,1,34.5,1,36.5,1,10,63,69,7,4,0
18,A7149,5,36.75,0,0,36.75,1,0,31,76,6,9,1
1375,10814993,1,0,17,19.75,36.75,1,21,117,57,3,4,0
549,10872972,4,29,8,0,37,1,43,92,82,8,9,0
473,10848655,3,0,35,2,37,2,11,90,48,5,6,0
620,C6578,2,1.25,3,33,37.25,1,6,73,115,5,8,0
913,D6226,5,8.5,27,2,37.5,2,56,123,119,8,6,1
187,M5256,2,7,30.5,0,37.5,1,4,99,125,5,5,1
1189,A7538,4,1,8,28.5,37.5,1,4,54,176,7,5,1
542,B6355,3,18,20,0,38,1,36,129,34,4,4,1
539,10805390,2,5,33,0,38,1,29,90,39,4,7,1
721,B6813,3,0,38,0,38,1,3,24,21,3,4,0
1385,C6269,3,0,31,7,38,2,5,9,9,4,0,0
1307,10875823,2,0,13,25,38,1,12,41,39,4,4,0
534,C6381,3,2.25,36,0,38.25,1,17,59,116,6,0,1
605,10645438,5,8.5,30,0,38.5,1,0,10,38,8,0,0
920,B6178,2,0,32.5,6,38.5,1,10,89,72,3,4,0
1363,A7990,1,0,0,38.5,38.5,1,5,38,12,2,4,0
619,10805120,1,0,38.5,0,38.5,1,0,121,46,2,4,0
1130,10803862,5,0,30.5,8,38.5,1,31,439,244,10,4,0
744,C6654,4,0,32.25,6.5,38.75,3,58,120,103,8,0,0
1185,10848689,2,38,0,1,39,1,6,75,16,3,10,1
680,10824604,4,16,16,7,39,1,12,18,18,4,9,1
1309,D5052,7,12,9,18,39,1,33,104,109,8,0,1
501,B6608,3,0,27,12,39,1,12,24,34,6,4,0
579,H9164R,2,0,39,0,39,1,2,101,5,2,4,1
1429,C6831R,2,0,22,17,39,1,7,125,16,4,4,1
535,10833752,2,0,39,0,39,1,2,58,35,2,4,0
1220,10801907,7,27.75,6.5,5,39.25,1,3,23,79,8,4,1
532,B6659,3,15.75,23.5,0,39.25,2,6,23,21,5,5,0
401,M7173,2,5.25,3.5,30.5,39.25,1,22,73,79,6,5,0
815,10803617,4,11,16,12.5,39.5,1,20,29,70,7,6,0
1473,M7152,3,6,5.5,28.25,39.75,1,42,256,106,4,5,1
1576,K7581,8,5.75,25.5,8.5,39.75,3,49,105,193,14,5,0
608,N8583,3,17,23,0,40,2,5,41,20,6,4,0
684,B6229,9,12,12,16,40,2,5,23,92,20,6,1
193,10804913,6,6.5,33.5,0,40,1,63,175,98,10,7,0
806,A6314,4,5,4,31,40,1,8,31,62,7,0,0
721,10803641,3,5,35,0,40,1,6,76,17,3,4,1
589,10829650,3,0,40,0,40,2,0,127,73,8,6,0
832,10804357,3,0,12,28,40,1,31,260,84,4,8,1
545,10866802,2,26.5,13.75,0,40.25,1,4,22,12,3,4,0
798,D6105,4,0,37.5,3,40.5,1,6,28,12,5,4,1
543,10892885,2,0,40.5,0,40.5,2,8,20,19,4,4,0
553,A6977,3,39.5,1.5,0,41,2,0,12,17,4,5,0
189,10803992,1,6,27,8,41,1,2,57,183,13,5,0
1271,C6981,3,0,13,28,41,1,0,5,7,4,4,0
967,10838439,5,0,13,28,41,2,48,153,134,8,6,0
719,10936044,2,34,7.25,0,41.25,1,22,165,17,2,6,1
1590,M7187,2,28.5,6.5,6.25,41.25,1,15,27,30,6,5,1
460,10803667,2,0,32.5,8.75,41.25,1,4,41,22,3,0,1
854,A6973,2,0,18,23.25,41.25,3,8,82,89,7,6,1
3,A6902,4,42,0,0,42,2,0,46,36,5,6,0
46,10969140,3,42,0,0,42,1,26,202,28,3,4,0
1839,C6543,4,26,14,2,42,1,6,32,42,5,4,1
837,L5018,6,17,15,10,42,1,15,57,127,11,6,1
1495,10805157,5,3,11,28,42,1,7,46,121,13,5,0
1311,A7463,6,0.25,33.75,8,42,1,9,51,176,15,4,0
1626,S5469,1,0,31.5,10.5,42,1,105,290,226,5,4,0
449,10830549,2,0,24,18,42,2,4,46,11,3,4,1
1530,10817552,4,0,21,21,42,1,1,25,27,7,12,0
1177,10676567,6,35.75,4.5,2,42.25,1,38,52,185,13,7,0
599,10801888,4,21.5,20.75,0,42.25,1,16,64,103,5,5,1
683,10830487,2,14,13.5,14.75,42.25,1,26,96,136,7,6,1
404,B6715,2,12.5,30,0,42.5,1,16,49,17,4,6,1
34,C6244,2,43,0,0,43,1,15,52,13,3,4,0
561,B7037,6,21.5,21.5,0,43,1,15,37,41,10,4,1
146,A6492,3,7,6,30,43,1,10,64,66,5,4,0
572,B6416,3,2.5,40.5,0,43,1,14,35,50,7,4,0
1492,10890040,3,1,12,30,43,1,38,35,79,9,4,1
1676,10874850,2,0,18,25,43,1,5,40,39,4,4,1
1382,10852800,4,39.25,0,4,43.25,5,6,59,48,7,5,0
11,10801898,6,43.5,0,0,43.5,2,48,146,303,8,6,1
731,S5384,1,3.5,32.5,7.5,43.5,1,91,153,158,4,0,0
436,10803980,1,0,0,43.5,43.5,1,22,191,51,2,4,0
725,C6031,4,27,6.5,10.5,44,2,15,37,89,9,0,0
22,C6456,2,20.5,0,23.5,44,1,13,38,89,6,5,0
93,A7635,4,8,4,32,44,2,14,55,61,7,4,0
452,F9677,2,0,0,44,44,1,0,38,10,2,6,0
497,C6683,3,0,30,14,44,1,2,36,39,3,5,1
985,10837697,4,0,21.25,23,44.25,3,13,50,43,5,6,1
548,D6123,5,36.5,8,0,44.5,2,12,32,26,5,4,0
1713,B6533,4,5.25,0,39.25,44.5,1,22,74,261,11,6,0
1193,B6112,2,0,18.5,26,44.5,1,7,88,73,6,8,0
450,10803690,4,0,42,2.5,44.5,1,2,25,32,4,5,0
181,A6933,3,7,30.75,7,44.75,2,41,140,83,7,7,0
167,10844938,2,45,0,0,45,1,1,26,39,3,7,1
196,10803800,2,45,0,0,45,2,0,55,8,2,11,0
590,10821563,4,38,7,0,45,1,44,90,52,6,10,0
739,10860404,6,25,7,13,45,1,38,79,181,10,8,1
757,B6544,3,3,42,0,45,1,78,184,129,7,4,0
1675,B6917,2,0,0,45,45,2,0,4,14,4,5,0
714,10875819,2,0,11,34,45,1,6,40,55,5,4,1
107,K7474,4,45.25,0,0,45.25,1,9,46,37,6,7,0
1133,10875068,4,17,8.5,20,45.5,2,0,12,18,6,6,0
668,A7707,5,0,16,29.5,45.5,3,8,32,29,7,5,0
858,10836181,2,0,24.5,21,45.5,1,32,126,84,8,4,0
27,10906641,1,46,0,0,46,1,5,141,12,1,4,1
1399,B6602,3,2,39,5,46,1,35,102,39,5,0,0
557,A7195,2,0,46,0,46,2,2,27,7,2,6,0
782,10851363,1,0,46,0,46,1,0,44,8,2,4,0
1563,10804415,2,17.25,28,1,46.25,1,23,93,33,4,4,1
517,B6014,2,0,46.25,0,46.25,1,14,81,88,5,7,0
1477,C6387,4,0,0,46.5,46.5,1,0,21,33,6,6,0
1568,C6275,5,24.5,15.5,7,47,1,34,30,65,9,8,1
1679,B6679,3,24,15,8,47,2,7,51,18,3,0,0
1602,10852635,5,24,13,10,47,1,14,59,47,7,4,0
67,B6413,5,12,20,15,47,1,6,21,20,5,6,0
259,B6623,4,8,0.5,38.5,47,1,48,79,272,11,6,0
910,10804406,2,6,18,23,47,2,0,10,11,4,4,0
442,D5188,4,5,20,22,47,1,61,136,125,9,0,0
1190,A6560,5,23.5,22,2,47.5,1,106,326,215,9,0,0
1235,M9138,1,8.5,29.5,9.5,47.5,1,19,24,80,9,4,1
55,A6893,3,3,44.5,0,47.5,1,1,56,67,4,4,0
502,A6800,4,0,45,2.5,47.5,1,5,30,56,7,9,1
554,10877757,4,23.75,24,0,47.75,1,15,60,89,5,7,1
22,10839750,3,48,0,0,48,1,6,119,24,5,4,1
576,10804880,4,24,24,0,48,1,3,35,25,5,4,0
1290,A6624,5,13,16,19,48,1,19,69,102,9,4,0
784,B6886,5,10.25,15.75,22,48,1,38,77,263,13,0,1
826,10874165,2,6,27,15,48,1,24,58,75,6,4,0
1661,10804319,5,2,14,32,48,1,2,23,55,11,4,0
473,D6143,8,0,0,48,48,1,5,39,83,14,4,1
539,10803775,2,0,48,0,48,2,4,43,23,4,4,1
1175,B6989,3,0,0,48,48,2,1,15,29,6,4,0
1209,D6187,2,0,11,37,48,2,2,38,19,5,4,0
1473,10836946,4,0,3,45,48,1,21,30,34,6,5,0
258,B7271,7,12,21,15.25,48.25,1,22,90,336,13,6,1
254,10859892,6,4.5,10,33.75,48.25,1,11,50,101,13,6,0
1333,M8126,3,3,34.75,10.5,48.25,3,4,60,104,6,4,0
705,10832045,9,44.5,4,0,48.5,1,61,103,116,15,10,1
1693,D6277,5,18,0.5,30,48.5,1,20,60,98,7,9,1
927,10805176,4,17,31.5,0,48.5,1,40,60,61,6,4,1
419,B6030,5,3.5,45,0,48.5,1,1,15,26,7,5,0
1539,A7157R,2,40,5,4,49,1,0,5,6,5,4,1
1533,A7371,3,10.25,19.75,19,49,1,9,39,102,7,5,1
635,10804174,3,2,27,20,49,1,14,65,25,4,6,0
471,D5066,2,0,1,48,49,2,10,44,30,3,0,1
471,10804452,2,0,49,0,49,1,0,4,13,4,5,1
875,10803646,1,0,49,0,49,1,3,20,2,1,5,1
211,A7755,4,31.25,0,18,49.25,2,4,23,115,8,9,1
1665,10814994,4,40,9,0.5,49.5,1,12,70,33,7,8,0
938,10812908,4,4,45.5,0,49.5,2,40,106,67,5,6,1
507,C5145,8,0,32.5,17,49.5,1,33,174,478,22,0,0
1691,C6744,4,0,42.5,7,49.5,1,37,87,46,6,7,0
963,10805091,5,47,3,0,50,1,7,200,127,5,10,1
894,A6250,8,12,10,28,50,1,23,69,197,12,4,1
24,C6566,4,9,0,41,50,1,16,31,76,9,6,0
1695,D6244,4,0,25,25,50,1,6,26,45,6,4,0
456,10852584,2,0,17.5,33,50.5,2,1,21,13,4,4,0
285,C6962,4,10,20.5,20.25,50.75,1,8,18,39,8,4,0
217,C6926,6,41.5,9.5,0,51,2,30,44,102,12,4,1
937,10857728,5,4,47,0,51,2,6,56,80,8,8,0
588,10804563,2,0,51,0,51,2,1,116,17,2,5,1
460,10879639,4,0,51,0,51,1,28,59,30,6,6,0
242,M9136,1,16.25,34.75,0.25,51.25,1,12,78,122,7,4,1
1533,A6811,6,3.5,18.25,29.5,51.25,2,19,32,159,12,4,1
1324,10846787,4,16,34,1.5,51.5,1,128,147,154,8,6,0
152,C5833,3,13.5,0,38,51.5,1,26,90,49,4,0,1
1016,10803558,5,6,5,40.5,51.5,1,15,38,55,7,4,0
1502,C6266,5,0,41.5,10,51.5,1,8,73,139,12,5,1
622,10842858,5,39,13,0,52,1,12,31,97,12,9,1
1447,10844685,5,26,13,13,52,1,4,19,39,7,4,0
208,D6369,5,12,0,40,52,1,14,181,125,8,4,0
1024,J6751,3,2,0,50,52,2,32,113,165,13,0,0
445,C6357,4,0,0,52,52,1,14,126,69,6,7,0
1243,C6960,4,0,9,43,52,1,19,37,94,10,5,0
575,10844438,2,0,52,0,52,1,0,119,14,2,4,0
1437,10885610,3,0,22,30,52,1,0,16,11,4,8,0
1308,B6093,5,9.25,0,43,52.25,1,9,29,134,11,0,0
1746,S5637,1,0,23,29.25,52.25,1,0,29,48,7,4,0
563,M5151,2,3,49.5,0,52.5,1,9,30,44,4,5,0
417,K7489,6,11.5,5.5,36,53,1,24,82,140,10,5,0
1072,10804890,5,0,18,35.25,53.25,1,31,100,70,9,0,1
573,10792277,4,30.5,23,0,53.5,2,5,24,74,9,4,1
560,10856402,3,27,26.5,0,53.5,1,7,50,16,3,5,0
1282,10895540,5,5.5,37,11,53.5,1,15,48,61,9,5,0
990,A7747,5,0,35.5,18,53.5,1,3,34,97,10,4,0
171,A7395,3,15,38.75,0,53.75,1,7,36,20,4,6,1
399,B6560,2,30,24,0,54,1,2,28,9,2,0,1
872,10803606,2,2,41.5,10.5,54,1,21,65,115,7,5,0
789,D6159,4,1.5,29,23.5,54,1,4,26,19,5,4,1
950,10837849,1,6,23,25.5,54.5,1,36,101,222,11,6,1
1264,B6513,4,2,20.5,32,54.5,1,15,38,55,9,4,0
1317,10832674,2,1.5,44,9,54.5,2,35,149,68,7,4,1
228,C6824,5,7.5,40,7.25,54.75,1,17,44,79,9,4,0
1,I9510H,4,55,0,0,55,2,14,50,16,5,4,1
431,10804664,3,55,0,0,55,2,13,80,20,4,4,1
1346,B6118,3,16,24,15,55,2,5,61,33,5,4,0
1027,10892443,3,0,40,15,55,2,0,15,13,4,5,0
1572,A7733,5,20.25,10,25,55.25,2,11,24,158,12,5,0
1748,A6419,3,3.5,0,52,55.5,2,13,52,96,5,6,0
330,D6121,4,29,26.75,0,55.75,1,0,23,106,10,6,0
