,JobCode,deptcount,srhrs,midhrs,jrhrs,Psrhrs,Pmidhrs,PjrHrs,officecount,ptodays,pjduration,additionalassignments,teamsize,projtags,overbudget
211,10803838,6,146.25,210.0,370.25,0.20130763936682725,0.289057123193393,0.5096352374397798,2,251,185,272,21,7,0
212,10804975,5,73.0,15.5,12.0,0.7263681592039801,0.15422885572139303,0.11940298507462686,1,51,91,65,7,5,1
213,B7341,4,14.5,0.0,0.0,1.0,0.0,0.0,2,0,9,48,6,4,0
214,10805280,2,0.0,4.0,0.0,0.0,1.0,0.0,1,8,57,25,3,5,0
215,10803885,7,27.5,147.5,40.75,0.12746234067207415,0.6836616454229433,0.18887601390498263,3,91,172,212,15,8,0
216,10803748,4,224.25,309.0,68.5,0.3726630660573328,0.5135022850020773,0.11383464894058995,2,80,92,234,17,6,0
217,10803785,7,724.75,295.0,213.25,0.58779399837794,0.23925385239253852,0.17295214922952148,2,166,122,226,24,16,1
218,10804373,6,8.0,24.0,33.0,0.12307692307692308,0.36923076923076925,0.5076923076923077,1,0,15,31,7,4,0
219,10803537,2,132.5,55.75,0.0,0.703851261620186,0.2961487383798141,0.0,3,41,59,36,7,5,1
220,10803559,4,26.75,59.5,0.0,0.3101449275362319,0.6898550724637681,0.0,1,2,7,45,7,5,0
221,10804550,6,37.25,20.0,3.0,0.6182572614107884,0.33195020746887965,0.04979253112033195,2,2,13,79,16,12,1
222,10804498,3,14.5,7.0,0.0,0.6744186046511628,0.32558139534883723,0.0,1,9,29,19,6,4,0
223,10803776,4,131.75,115.75,0.0,0.5323232323232323,0.4676767676767677,0.0,2,16,39,83,10,7,0
224,10808750,5,58.0,91.0,39.25,0.30810092961487384,0.48339973439575035,0.20849933598937584,1,46,43,69,11,5,0
225,10804244,8,187.5,172.0,16.5,0.49867021276595747,0.4574468085106383,0.043882978723404256,3,49,60,115,13,4,1
226,10805101,2,0.0,73.0,0.0,0.0,1.0,0.0,1,4,70,25,5,5,0
227,10794591,3,0.0,0.0,176.0,0.0,0.0,1.0,2,19,60,59,6,5,1
228,10803690,4,0.0,42.0,2.5,0.0,0.9438202247191011,0.056179775280898875,1,2,25,32,4,5,0
229,10804057,1,6.5,82.0,93.5,0.03571428571428571,0.45054945054945056,0.5137362637362637,2,65,90,327,13,12,1
230,10803913,9,520.0,226.5,24.0,0.6748864373783258,0.29396495781959764,0.031148604802076575,2,121,85,284,22,5,1
231,10804849,6,562.0,271.75,434.75,0.44304296413086325,0.21422940480882932,0.34272763106030746,3,489,277,326,19,10,1
232,10804377,5,45.0,129.0,96.0,0.16666666666666666,0.4777777777777778,0.35555555555555557,1,18,74,93,9,10,1
233,10803844,5,23.5,36.0,0.0,0.3949579831932773,0.6050420168067226,0.0,1,25,22,150,19,4,0
234,10803243,1,0.0,1.0,0.0,0.0,1.0,0.0,1,1,21,7,2,4,0
235,10804641,8,280.0,200.0,25.0,0.5544554455445545,0.39603960396039606,0.04950495049504951,1,112,45,132,22,5,0
236,10804413,8,261.5,100.0,136.75,0.5248369292523833,0.2007024586051179,0.2744606121424987,3,35,47,70,16,4,1
237,10801114,6,27.75,81.5,6.5,0.23974082073434125,0.7041036717062635,0.056155507559395246,2,67,60,255,15,6,0
238,10816119,6,0.0,7.75,21.5,0.0,0.26495726495726496,0.7350427350427351,3,8,39,170,11,6,0
239,10830690,4,3.75,22.5,0.0,0.14285714285714285,0.8571428571428571,0.0,2,78,164,209,6,7,0
240,10803239,9,1593.75,2623.25,438.5,0.34233702072817096,0.5634733111373644,0.09418966813446461,7,472,190,310,28,14,1
241,10804198,7,894.25,159.5,152.75,0.7411935350186489,0.13220058019063408,0.12660588479071694,3,95,67,210,24,9,1
242,10801903,4,3.25,7.0,0.0,0.3170731707317073,0.6829268292682927,0.0,1,7,47,69,5,4,1
243,10804438,8,34.0,509.0,279.5,0.04133738601823708,0.6188449848024317,0.3398176291793313,4,79,53,274,29,14,0
244,10804470,4,4.0,12.0,13.0,0.13793103448275862,0.41379310344827586,0.4482758620689655,1,0,9,22,5,7,0
245,10804965,6,80.0,213.0,386.75,0.11769032732622288,0.3133504965060684,0.5689591761677087,2,64,59,234,20,6,0
246,10832269,7,555.5,506.25,399.0,0.38028410063323637,0.3465685435563923,0.27314735581037136,2,263,142,728,33,7,0
247,10815149,7,2.25,167.0,33.5,0.011097410604192354,0.8236744759556104,0.16522811344019728,3,39,75,334,17,7,1
248,10805009,6,137.5,1363.5,8.0,0.09111994698475812,0.9035785288270378,0.005301524188204109,2,119,112,101,12,9,1
249,10803875,6,219.25,34.75,29.0,0.7747349823321554,0.12279151943462897,0.10247349823321555,2,62,67,85,11,9,1
250,10843899,6,30.5,125.25,0.0,0.1958266452648475,0.8041733547351525,0.0,2,124,184,434,15,5,1
251,10804746,5,46.5,74.0,89.0,0.22195704057279236,0.3532219570405728,0.42482100238663484,1,24,34,53,9,4,1
252,10804588,2,16.0,0.0,0.0,1.0,0.0,0.0,1,5,61,39,3,4,1
253,10804734,2,0.0,6.0,25.5,0.0,0.19047619047619047,0.8095238095238095,1,30,90,72,5,4,1
254,10804477,4,65.75,288.0,23.0,0.1745189117451891,0.7644326476443265,0.06104844061048441,1,58,97,133,14,7,1
255,10804717,5,13.5,81.0,0.0,0.14285714285714285,0.8571428571428571,0.0,1,59,156,110,6,7,1
256,10805247,6,46.5,142.0,0.0,0.246684350132626,0.753315649867374,0.0,1,35,58,96,11,8,1
257,10803682,5,9.75,76.75,64.0,0.06478405315614617,0.5099667774086378,0.42524916943521596,1,44,103,87,11,6,1
258,10804495,6,1.0,111.0,6.0,0.00847457627118644,0.940677966101695,0.05084745762711865,2,69,167,90,8,4,0
259,10805064,2,24.5,5.0,4.0,0.7313432835820896,0.14925373134328357,0.11940298507462686,2,35,91,59,6,5,0
260,10804170,2,33.5,13.5,197.25,0.13715455475946775,0.05527123848515865,0.8075742067553736,1,54,118,231,9,6,0
261,10799232,5,102.0,0.0,0.0,1.0,0.0,0.0,3,5,60,26,7,7,0
262,10832266,5,79.5,248.75,59.5,0.20502901353965183,0.6415215989684074,0.15344938749194068,2,165,152,272,15,17,1
263,10801904,5,113.75,73.5,536.75,0.15711325966850828,0.10151933701657459,0.7413674033149171,3,150,130,542,24,6,1
264,10828711,6,323.75,732.75,61.0,0.2897091722595078,0.6557046979865772,0.05458612975391499,2,102,87,197,17,4,1
265,10803754,5,64.0,114.0,0.0,0.3595505617977528,0.6404494382022472,0.0,2,121,92,167,14,5,1
