,JobCode,deptcount,srhrs,midhrs,jrhrs,Psrhrs,Pmidhrs,PjrHrs,officecount,ptodays,pjduration,additionalassignments,teamsize,projtags,overbudget
385,10864044,1,1.0,9.5,0.0,0.09523809523809523,0.9047619047619048,0.0,2,17,90,41,3,4,1
386,10863816,5,207.5,64.0,0.0,0.7642725598526704,0.23572744014732966,0.0,3,54,45,106,13,9,0
387,10863989,6,810.5,432.0,840.25,0.3891489617092786,0.20741807706157725,0.4034329612291442,1,180,236,146,17,14,0
388,10864074,7,91.5,287.5,83.75,0.19773095623987033,0.6212857914640735,0.1809832522960562,2,117,93,358,19,7,0
389,10865350,2,3.25,16.0,0.0,0.16883116883116883,0.8311688311688312,0.0,1,4,21,12,3,4,0
390,10865351,3,0.0,74.5,60.0,0.0,0.5539033457249071,0.44609665427509293,1,4,45,54,7,4,0
391,10865308,10,130.5,239.5,116.5,0.2682425488180884,0.49229188078108943,0.2394655704008222,1,126,100,260,23,8,0
392,10865907,5,115.0,129.5,0.0,0.4703476482617587,0.5296523517382413,0.0,1,21,44,71,8,6,1
393,10868597,3,0.0,13.0,66.0,0.0,0.16455696202531644,0.8354430379746836,1,22,91,48,6,6,0
394,10868933,5,76.5,78.0,233.75,0.19703799098518995,0.20090148100450742,0.6020605280103026,1,14,37,38,10,6,1
395,10868160,5,0.5,10.0,14.5,0.02,0.4,0.58,1,50,59,41,6,4,0
396,10868682,6,0.0,391.0,206.0,0.0,0.6549413735343383,0.34505862646566166,1,77,88,139,12,6,0
397,10870003,7,133.0,418.5,187.75,0.1799120730470071,0.5661143050388908,0.2539736219141021,2,94,71,249,22,8,0
398,10870121,6,78.75,58.5,39.5,0.44554455445544555,0.33097595473833097,0.22347949080622348,4,13,20,61,13,8,1
399,10871132,9,1800.5,981.0,217.0,0.600466900116725,0.32716358179089544,0.07236951809237953,6,178,46,247,48,6,1
400,10872280,4,39.0,32.0,11.0,0.47560975609756095,0.3902439024390244,0.13414634146341464,1,40,52,38,5,4,1
401,10873433,1,9.0,5.0,0.0,0.6428571428571429,0.35714285714285715,0.0,2,25,81,22,3,6,1
402,10874161,2,0.0,13.0,19.0,0.0,0.40625,0.59375,1,5,25,43,6,4,0
403,10874167,2,2.0,76.0,12.0,0.022222222222222223,0.8444444444444444,0.13333333333333333,1,5,54,47,7,4,0
404,10874170,3,4.0,51.0,12.0,0.05970149253731343,0.7611940298507462,0.1791044776119403,1,7,57,51,6,4,0
405,10874206,8,73.0,198.0,209.0,0.15208333333333332,0.4125,0.4354166666666667,1,205,179,296,18,4,0
406,10874843,4,25.0,131.0,22.0,0.1404494382022472,0.7359550561797753,0.12359550561797752,1,8,48,48,8,4,0
407,10875821,2,0.0,12.0,54.0,0.0,0.18181818181818182,0.8181818181818182,1,0,22,18,3,4,0
408,10874851,9,164.5,330.0,508.0,0.16408977556109725,0.32917705735660846,0.5067331670822942,1,64,62,165,24,4,0
409,10874853,2,0.0,15.0,69.0,0.0,0.17857142857142858,0.8214285714285714,1,24,139,90,5,4,0
410,10874856,3,1.0,5.0,16.0,0.045454545454545456,0.22727272727272727,0.7272727272727273,1,0,8,37,5,4,0
411,10874858,5,38.0,41.0,29.0,0.35185185185185186,0.37962962962962965,0.26851851851851855,1,29,100,100,8,4,0
412,10874819,3,20.0,56.0,13.0,0.2247191011235955,0.6292134831460674,0.14606741573033707,1,20,49,52,6,4,0
413,10875872,6,71.5,230.0,259.75,0.12739420935412027,0.40979955456570155,0.4628062360801782,2,50,55,59,13,7,1
414,10874346,6,44.5,102.5,85.0,0.19181034482758622,0.4418103448275862,0.36637931034482757,2,68,73,210,16,5,1
415,10874948,4,0.0,28.0,85.5,0.0,0.24669603524229075,0.7533039647577092,1,19,45,60,10,4,0
416,10875067,6,377.5,85.5,272.5,0.513256288239293,0.11624745071380013,0.37049626104690686,2,44,43,70,15,5,1
417,10875974,5,1449.0,139.5,361.5,0.7430769230769231,0.07153846153846154,0.1853846153846154,2,24,32,38,20,8,1
418,10877453,5,110.25,113.5,0.0,0.49273743016759775,0.5072625698324023,0.0,1,36,41,114,14,4,1
419,10879639,4,0.0,51.0,0.0,0.0,1.0,0.0,1,28,59,30,6,6,0
420,10881989,8,94.0,446.5,464.0,0.0935788949726232,0.4444997511199602,0.4619213539074166,1,115,210,437,26,14,0
421,10883598,9,285.0,163.25,47.5,0.5748865355521936,0.3292990418557741,0.09581442259203228,3,28,23,125,22,7,0
422,10882790,6,34.0,68.0,261.0,0.09366391184573003,0.18732782369146006,0.71900826446281,2,132,283,283,12,4,1
423,10886453,6,435.0,52.0,41.5,0.8230842005676443,0.09839167455061495,0.07852412488174078,5,75,49,89,15,16,1
424,10886076,4,73.0,0.0,43.0,0.6293103448275862,0.0,0.3706896551724138,1,21,39,76,6,5,1
425,10889896,6,171.75,352.0,217.0,0.23185960175497805,0.4751940600742491,0.29294633817077287,2,42,31,67,15,15,1
426,10889767,2,0.0,0.0,22.0,0.0,0.0,1.0,1,2,40,14,3,7,0
427,10891560,3,86.0,0.0,0.0,1.0,0.0,0.0,3,16,33,5,3,5,1
428,10890042,2,0.0,6.0,4.5,0.0,0.5714285714285714,0.42857142857142855,1,11,30,32,3,4,0
429,10893363,10,431.5,377.5,250.5,0.4072675790467202,0.3563001415762152,0.23643227937706465,2,74,28,239,42,23,0
430,10895362,5,28.0,46.0,39.0,0.24778761061946902,0.40707964601769914,0.34513274336283184,2,37,86,112,17,11,1
431,10817442,2,20.0,0.0,0.0,1.0,0.0,0.0,2,0,56,31,3,8,1
432,10817851,2,19.0,0.0,0.0,1.0,0.0,0.0,1,0,40,3,2,4,0
433,10781241,3,9.0,0.0,0.0,1.0,0.0,0.0,1,0,4,23,4,4,1
434,10906641,1,46.0,0.0,0.0,1.0,0.0,0.0,1,5,141,12,1,4,1
435,10799242,3,18.5,0.0,0.0,1.0,0.0,0.0,1,4,60,17,3,7,0
436,10817437,2,3.0,0.0,0.0,1.0,0.0,0.0,1,0,37,2,3,5,0
437,10851235,2,137.0,0.0,0.0,1.0,0.0,0.0,1,21,203,36,3,4,1
438,10839750,3,48.0,0.0,0.0,1.0,0.0,0.0,1,6,119,24,5,4,1
439,10866847,2,14.0,0.0,0.0,1.0,0.0,0.0,1,5,418,44,3,9,0
440,A7203,6,453.0,0.0,0.0,1.0,0.0,0.0,1,12,89,136,7,5,1
441,B7337,3,0.75,0.0,0.0,1.0,0.0,0.0,1,5,21,32,3,5,1
442,B7664,2,0.5,0.0,0.0,1.0,0.0,0.0,2,1,29,100,4,8,1
443,10878171,2,11.5,0.0,0.0,1.0,0.0,0.0,1,0,4,10,3,11,1
444,10873436,2,104.0,0.0,0.0,1.0,0.0,0.0,1,9,59,9,2,6,1
445,A7375,5,0.25,0.0,0.0,1.0,0.0,0.0,2,0,66,159,8,4,1
446,A7149,5,36.75,0.0,0.0,1.0,0.0,0.0,1,0,31,76,6,9,1
447,10805248,2,19.0,0.0,0.0,1.0,0.0,0.0,1,0,12,13,4,5,1
448,10837045,3,28.75,0.0,0.0,1.0,0.0,0.0,1,1,18,63,4,4,0
449,10855446,2,69.0,0.0,0.0,1.0,0.0,0.0,1,16,137,31,3,5,1
450,10847933,2,30.0,0.0,0.0,1.0,0.0,0.0,1,6,91,36,3,5,0
451,10892841,2,30.0,0.0,0.0,1.0,0.0,0.0,1,2,8,5,2,5,1
452,N8570,3,27.0,0.0,0.0,1.0,0.0,0.0,1,0,11,7,3,4,0
453,I9510H,4,55.0,0.0,0.0,1.0,0.0,0.0,2,14,50,16,5,4,1
454,10834251,2,1.0,0.0,0.0,1.0,0.0,0.0,2,21,78,66,4,5,0
455,10850090,8,1298.75,0.0,0.0,1.0,0.0,0.0,2,75,91,73,12,5,0
456,10803999,1,22.0,0.0,0.0,1.0,0.0,0.0,1,1,73,39,3,5,1
457,10811560,1,8.0,0.0,0.0,1.0,0.0,0.0,1,1,14,8,1,4,0
458,10821006,3,13.0,0.0,0.0,1.0,0.0,0.0,1,4,16,6,5,6,0
459,10834026,2,106.0,0.0,0.0,1.0,0.0,0.0,2,0,19,38,5,4,1
460,10801898,6,43.5,0.0,0.0,1.0,0.0,0.0,2,48,146,303,8,6,1
461,10859001,6,2.5,0.0,0.0,1.0,0.0,0.0,3,0,13,54,18,7,1
462,10803605,4,1.0,0.0,0.0,1.0,0.0,0.0,1,0,14,24,5,4,0
463,10804841,8,16.0,0.0,0.0,1.0,0.0,0.0,3,31,354,235,17,0,0
464,10876755,3,197.0,0.0,0.0,1.0,0.0,0.0,1,16,116,34,4,4,1
465,10803701,2,77.0,0.0,0.0,1.0,0.0,0.0,2,2,32,2,3,4,0
466,10796814,3,23.25,0.0,0.0,1.0,0.0,0.0,3,48,110,98,4,4,0
467,10883732,2,13.0,0.0,0.0,1.0,0.0,0.0,1,10,25,5,2,6,1
468,10898269,2,13.0,0.0,0.0,1.0,0.0,0.0,1,6,60,17,2,4,1
469,10803767,1,9.0,0.0,0.0,1.0,0.0,0.0,1,0,9,5,2,4,0
470,10876489,2,1.0,0.0,0.0,1.0,0.0,0.0,2,0,45,16,3,8,0
471,10849139,4,4.0,0.0,0.0,1.0,0.0,0.0,2,2,35,45,7,4,1
472,10835703,3,3.5,0.0,0.0,1.0,0.0,0.0,2,5,20,10,5,7,0
473,10865165,2,11.25,0.0,0.0,1.0,0.0,0.0,2,6,142,48,3,4,0
474,10814992,5,10.0,0.0,0.0,1.0,0.0,0.0,1,0,29,32,9,4,0
475,10969140,3,42.0,0.0,0.0,1.0,0.0,0.0,1,26,202,28,3,4,0
476,10803696,1,2.0,0.0,0.0,1.0,0.0,0.0,2,6,90,120,5,4,0
477,10864978,3,79.25,0.0,0.0,1.0,0.0,0.0,1,6,87,27,5,4,1
478,B7780,2,7.75,0.0,0.0,1.0,0.0,0.0,1,21,50,55,3,4,1
479,10799194,5,7.0,0.0,0.0,1.0,0.0,0.0,2,1,24,45,10,7,1
480,10844492,4,60.25,0.0,0.0,1.0,0.0,0.0,1,6,44,37,6,9,1
481,10804500,6,736.5,0.0,0.0,1.0,0.0,0.0,1,60,415,254,9,7,0
482,10804531,2,0.0,2.0,0.0,0.0,1.0,0.0,1,14,22,12,2,4,0
483,10880774,5,27.5,5.5,0.0,0.8333333333333334,0.16666666666666666,0.0,1,22,35,40,7,4,0
484,10846446,5,46.75,362.25,0.0,0.11430317848410758,0.8856968215158925,0.0,1,145,195,315,13,12,0
485,10803609,2,466.25,226.0,0.0,0.6735283495846877,0.3264716504153124,0.0,2,48,131,248,9,4,1
486,10804251,2,0.0,71.0,0.0,0.0,1.0,0.0,2,42,357,448,11,4,1
487,10804676,8,51.5,66.0,0.0,0.43829787234042555,0.5617021276595745,0.0,1,128,613,397,10,8,0
488,C6947,3,7.75,12.0,0.0,0.3924050632911392,0.6075949367088608,0.0,1,32,168,254,5,0,0
489,10832945,3,0.0,11.0,0.0,0.0,1.0,0.0,2,2,86,19,4,7,1
490,A7462,3,0.0,264.0,0.0,0.0,1.0,0.0,1,0,46,78,5,4,0
491,10881632,2,0.0,1.5,0.0,0.0,1.0,0.0,2,0,7,2,2,7,0
492,10803972,4,9.0,18.0,0.0,0.3333333333333333,0.6666666666666666,0.0,1,10,66,71,7,5,0
493,10813876,6,32.0,2.0,0.0,0.9411764705882353,0.058823529411764705,0.0,2,10,43,52,11,5,1
494,10798471,4,4.5,28.0,0.0,0.13846153846153847,0.8615384615384616,0.0,1,1,40,87,7,6,0
495,10776924,6,131.5,236.5,0.0,0.35733695652173914,0.6426630434782609,0.0,3,167,167,473,20,7,1
496,10861565,2,3.0,1.0,0.0,0.75,0.25,0.0,1,1,39,3,2,8,0
497,10982515,3,50.0,19.0,0.0,0.7246376811594203,0.2753623188405797,0.0,1,134,366,97,5,4,0
498,A7195,2,0.0,46.0,0.0,0.0,1.0,0.0,2,2,27,7,2,6,0
499,10846483,3,0.5,15.5,0.0,0.03125,0.96875,0.0,1,10,63,95,7,5,0
500,10833752,2,0.0,39.0,0.0,0.0,1.0,0.0,1,2,58,35,2,4,0
501,10804324,2,64.5,51.0,0.0,0.5584415584415584,0.44155844155844154,0.0,2,2,58,76,4,4,0
502,10804269,4,12.0,76.0,0.0,0.13636363636363635,0.8636363636363636,0.0,2,15,150,139,11,6,0
503,10805030,6,46.5,50.0,0.0,0.48186528497409326,0.5181347150259067,0.0,1,60,84,77,9,4,0
504,10859262,2,0.0,16.0,0.0,0.0,1.0,0.0,1,0,65,23,3,7,1
505,10832044,7,42.0,37.25,0.0,0.5299684542586751,0.47003154574132494,0.0,1,56,81,117,16,7,0
506,10805390,2,5.0,33.0,0.0,0.13157894736842105,0.868421052631579,0.0,1,29,90,39,4,7,1
507,10890391,4,2.0,19.5,0.0,0.09302325581395349,0.9069767441860465,0.0,1,18,25,17,5,5,0
508,10801938,8,96.0,275.5,0.0,0.25841184387617766,0.7415881561238223,0.0,3,25,40,142,16,5,1
509,10892885,2,0.0,40.5,0.0,0.0,1.0,0.0,2,8,20,19,4,4,0
510,10866802,2,26.5,13.75,0.0,0.6583850931677019,0.3416149068322981,0.0,1,4,22,12,3,4,0
511,10838463,3,0.0,8.0,0.0,0.0,1.0,0.0,1,0,87,57,6,4,1
512,10808756,4,2.5,24.0,0.0,0.09433962264150944,0.9056603773584906,0.0,1,5,26,29,5,5,1
513,10883293,3,0.0,32.0,0.0,0.0,1.0,0.0,2,3,293,124,7,4,0
514,10804789,1,0.0,2.0,0.0,0.0,1.0,0.0,1,0,365,87,2,5,0
515,10795303,2,194.0,381.0,0.0,0.3373913043478261,0.662608695652174,0.0,2,19,111,38,5,5,0
516,10872972,4,29.0,8.0,0.0,0.7837837837837838,0.21621621621621623,0.0,1,43,92,82,8,9,1
517,10862730,1,0.0,34.0,0.0,0.0,1.0,0.0,1,4,44,13,2,7,0
518,10801896,6,5.75,5.0,0.0,0.5348837209302325,0.46511627906976744,0.0,1,26,33,108,9,5,1
519,10801154,8,67.0,147.0,0.0,0.3130841121495327,0.6869158878504673,0.0,1,32,51,212,16,4,0
520,10877757,4,23.75,24.0,0.0,0.4973821989528796,0.5026178010471204,0.0,1,15,60,89,5,7,1
521,10819396,2,55.0,12.0,0.0,0.8208955223880597,0.1791044776119403,0.0,1,0,121,21,3,4,0
522,10836794,3,49.0,48.0,0.0,0.5051546391752577,0.4948453608247423,0.0,1,8,44,29,4,6,1
523,10913919,2,2.0,26.0,0.0,0.07142857142857142,0.9285714285714286,0.0,4,31,90,49,5,4,1
524,10857524,3,13.0,55.5,0.0,0.1897810218978102,0.8102189781021898,0.0,1,4,22,34,6,4,1
525,N8565,3,27.5,8.0,0.0,0.7746478873239436,0.22535211267605634,0.0,1,3,14,15,6,4,1
526,10803760,3,13.0,123.0,0.0,0.09558823529411764,0.9044117647058824,0.0,3,7,63,76,7,4,0
527,10875268,5,151.5,112.5,0.0,0.5738636363636364,0.42613636363636365,0.0,1,139,102,132,12,10,0
528,10804704,4,178.0,28.5,0.0,0.8619854721549637,0.13801452784503632,0.0,1,21,88,59,6,4,1
529,10803550,5,95.0,43.0,0.0,0.6884057971014492,0.3115942028985507,0.0,1,102,230,140,7,4,1
530,10770325,3,110.0,60.0,0.0,0.6470588235294118,0.35294117647058826,0.0,1,3,60,11,4,4,1
531,10817991,5,25.5,133.0,0.0,0.1608832807570978,0.8391167192429022,0.0,2,20,46,171,9,6,0
532,10814027,1,0.0,21.0,0.0,0.0,1.0,0.0,1,0,12,5,1,4,0
533,10805103,2,0.0,288.0,0.0,0.0,1.0,0.0,1,0,64,5,4,4,1
534,10804863,7,82.5,29.0,0.0,0.7399103139013453,0.2600896860986547,0.0,2,24,35,78,13,7,1
535,10896440,1,0.0,1.0,0.0,0.0,1.0,0.0,1,4,31,4,1,4,0
536,10844438,2,0.0,52.0,0.0,0.0,1.0,0.0,1,0,119,14,2,4,0
537,10804880,4,24.0,24.0,0.0,0.5,0.5,0.0,1,3,35,25,5,4,0
538,10832627,3,551.0,570.5,0.0,0.4913062862238074,0.5086937137761925,0.0,1,72,115,31,6,5,0
539,10805120,1,0.0,38.5,0.0,0.0,1.0,0.0,1,0,121,46,2,4,0
540,10826090,3,10.0,23.75,0.0,0.2962962962962963,0.7037037037037037,0.0,1,10,37,62,5,5,1
541,10805077,6,149.0,513.5,0.0,0.22490566037735849,0.7750943396226415,0.0,2,42,74,166,14,7,0
542,10842858,5,39.0,13.0,0.0,0.75,0.25,0.0,1,12,31,97,12,9,1
543,10803745,5,190.25,123.5,0.0,0.6063745019920319,0.39362549800796814,0.0,3,16,35,80,14,5,1
544,B7095,1,0.0,22.0,0.0,0.0,1.0,0.0,1,2,35,35,3,6,1
545,10864601,4,13.0,13.0,0.0,0.5,0.5,0.0,1,3,15,25,4,5,1
546,N8545,3,352.0,256.5,0.0,0.5784716516023007,0.42152834839769926,0.0,2,24,67,111,8,4,0
547,10804822,4,22.5,108.25,0.0,0.17208413001912046,0.8279158699808795,0.0,1,24,49,58,7,5,1
548,10860858,1,0.0,10.0,0.0,0.0,1.0,0.0,1,8,135,27,2,6,1
549,10803526,11,78.0,40.0,0.0,0.6610169491525424,0.3389830508474576,0.0,3,17,45,295,35,11,0
550,10808754,1,0.0,14.0,0.0,0.0,1.0,0.0,1,0,10,8,1,4,1
551,10814778,4,217.0,217.75,0.0,0.4991374353076481,0.5008625646923519,0.0,2,58,83,47,8,5,0
552,N8553,4,327.0,229.0,0.0,0.5881294964028777,0.4118705035971223,0.0,2,9,52,38,9,6,0
553,J6901,4,0.5,4.75,0.0,0.09523809523809523,0.9047619047619048,0.0,2,14,84,194,7,4,1
554,H9170,3,21.5,10.0,0.0,0.6825396825396826,0.31746031746031744,0.0,2,0,19,23,4,4,0
555,G8150,3,11.25,58.0,0.0,0.1624548736462094,0.8375451263537906,0.0,1,20,88,18,4,4,0
556,10801888,4,21.5,20.75,0.0,0.5088757396449705,0.4911242603550296,0.0,1,16,64,103,5,5,1
557,A7762,3,252.25,115.25,0.0,0.6863945578231293,0.31360544217687075,0.0,2,20,34,83,10,4,0
558,10805051,6,125.75,64.75,0.0,0.6601049868766404,0.33989501312335957,0.0,2,73,123,83,8,5,1
559,10865349,3,44.0,12.0,0.0,0.7857142857142857,0.21428571428571427,0.0,2,0,22,22,6,4,0
560,10856402,3,27.0,26.5,0.0,0.5046728971962616,0.4953271028037383,0.0,1,7,50,16,3,5,0
561,B7037,6,21.5,21.5,0.0,0.5,0.5,0.0,1,15,37,41,10,4,1
562,10823829,4,195.5,194.0,0.0,0.5019255455712451,0.4980744544287548,0.0,1,28,86,52,7,4,1
563,10848709,3,68.0,11.0,0.0,0.8607594936708861,0.13924050632911392,0.0,1,0,25,11,5,5,0
564,A7242,8,176.5,138.5,0.0,0.5603174603174603,0.4396825396825397,0.0,1,69,57,83,13,7,0
565,A7266,6,24.5,33.75,0.0,0.4206008583690987,0.5793991416309013,0.0,1,22,73,66,10,6,0
566,10774978,3,14.25,67.75,0.0,0.17378048780487804,0.8262195121951219,0.0,3,12,81,27,4,5,0
567,A7761,3,115.75,32.0,0.0,0.7834179357021996,0.21658206429780033,0.0,2,13,34,83,10,4,1
568,10875677,5,66.5,18.5,0.0,0.7823529411764706,0.21764705882352942,0.0,1,164,407,173,7,8,1
569,A7798,5,2.0,6.0,0.0,0.25,0.75,0.0,1,1,8,18,5,5,1
570,10847064,3,0.0,12.0,0.0,0.0,1.0,0.0,1,0,50,23,3,4,0
571,10888882,4,10.0,172.0,0.0,0.054945054945054944,0.945054945054945,0.0,2,20,48,24,5,6,1
572,10803790,3,109.0,155.5,0.0,0.4120982986767486,0.5879017013232514,0.0,2,0,7,40,7,6,1
573,10792277,4,30.5,23.0,0.0,0.5700934579439252,0.42990654205607476,0.0,2,5,24,74,9,4,1
574,10804939,4,63.0,12.0,0.0,0.84,0.16,0.0,2,160,549,182,9,4,1
575,A7106,2,0.0,19.0,0.0,0.0,1.0,0.0,1,2,41,10,3,8,1
576,10790134,6,7.25,15.25,0.0,0.32222222222222224,0.6777777777777778,0.0,2,8,25,112,10,4,0
577,10804254,3,40.0,18.0,0.0,0.6896551724137931,0.3103448275862069,0.0,2,67,314,213,11,7,0
578,10803601,2,1.5,33.0,0.0,0.043478260869565216,0.9565217391304348,0.0,2,1,44,32,3,5,0
579,D6335,4,0.0,106.5,0.0,0.0,1.0,0.0,1,21,75,110,7,7,0
580,10829651,7,91.0,155.5,0.0,0.3691683569979716,0.6308316430020284,0.0,2,22,39,137,21,4,1
581,10883751,3,22.0,12.0,0.0,0.6470588235294118,0.35294117647058826,0.0,1,0,3,5,4,4,0
582,10804528,4,246.25,113.0,0.0,0.6854558107167711,0.31454418928322897,0.0,2,18,30,22,7,6,1
583,G8131,5,18.25,11.0,0.0,0.6239316239316239,0.37606837606837606,0.0,1,76,63,89,9,8,1
584,10874561,6,22.5,134.5,0.0,0.14331210191082802,0.856687898089172,0.0,2,78,143,100,10,5,0
585,10804582,4,71.0,420.0,0.0,0.1446028513238289,0.8553971486761711,0.0,2,7,89,39,7,5,0
586,10801887,3,0.0,64.0,0.0,0.0,1.0,0.0,1,1,108,146,5,6,1
587,10817990,6,0.5,220.25,0.0,0.0022650056625141564,0.9977349943374858,0.0,2,3,32,141,9,6,1
588,10829650,3,0.0,40.0,0.0,0.0,1.0,0.0,2,0,127,73,8,6,0
589,10821563,4,38.0,7.0,0.0,0.8444444444444444,0.15555555555555556,0.0,1,44,90,52,6,10,0
590,10839102,3,0.0,7.0,0.0,0.0,1.0,0.0,1,15,26,58,7,4,0
591,10873963,4,4.0,9.0,0.0,0.3076923076923077,0.6923076923076923,0.0,1,30,79,24,6,5,1
592,10804839,5,713.5,71.0,0.0,0.9094964945825367,0.09050350541746335,0.0,1,18,60,15,10,11,1
593,A7767,3,3.5,11.0,0.0,0.2413793103448276,0.7586206896551724,0.0,1,3,18,74,7,8,1
594,10804752,3,0.0,120.5,0.0,0.0,1.0,0.0,2,193,142,102,10,5,0
595,10805230,5,23.25,7.0,0.0,0.768595041322314,0.23140495867768596,0.0,1,30,99,72,6,8,1
596,10869737,4,23.25,4.0,0.0,0.8532110091743119,0.14678899082568808,0.0,1,38,73,45,7,5,0
597,10768410,3,44.0,58.0,0.0,0.43137254901960786,0.5686274509803921,0.0,1,2,149,22,4,4,1
598,10804905,4,1.5,34.0,0.0,0.04225352112676056,0.9577464788732394,0.0,1,2,20,23,5,5,0
599,10860794,2,0.0,22.0,0.0,0.0,1.0,0.0,1,0,14,12,2,4,0
600,N8583,3,17.0,23.0,0.0,0.425,0.575,0.0,2,5,41,20,6,4,0
601,10803970,4,3.0,25.0,0.0,0.10714285714285714,0.8928571428571429,0.0,1,14,90,120,9,7,0
602,10973989,2,162.0,148.0,0.0,0.5225806451612903,0.4774193548387097,0.0,4,43,122,28,3,7,1
603,10843770,2,1.0,18.0,0.0,0.05263157894736842,0.9473684210526315,0.0,1,0,4,4,2,4,0
604,10874826,2,0.0,23.0,0.0,0.0,1.0,0.0,1,11,59,34,3,4,0
605,10831422,2,6.75,897.0,0.0,0.007468879668049793,0.9925311203319502,0.0,1,33,208,79,3,4,1
606,10845473,5,15.5,5.0,0.0,0.7560975609756098,0.24390243902439024,0.0,1,0,19,15,5,5,0
607,10803804,2,171.0,16.0,0.0,0.9144385026737968,0.0855614973262032,0.0,2,3,60,27,5,5,0
608,10851885,5,36.0,30.5,0.0,0.5413533834586466,0.45864661654135336,0.0,1,23,59,42,8,7,1
609,10804163,4,2.0,2.0,0.0,0.5,0.5,0.0,1,16,77,63,5,7,0
610,10804511,4,193.75,105.0,0.0,0.6485355648535565,0.3514644351464435,0.0,2,13,29,56,8,9,0
611,10804615,7,316.5,337.5,0.0,0.48394495412844035,0.5160550458715596,0.0,2,53,48,35,12,5,1
612,10805172,9,325.5,537.25,0.0,0.3772819472616633,0.6227180527383367,0.0,1,116,75,194,21,12,0
613,10804735,4,69.0,42.0,0.0,0.6216216216216216,0.3783783783783784,0.0,1,6,21,24,6,4,1
614,10804842,3,153.0,125.5,0.0,0.5493716337522442,0.4506283662477558,0.0,2,0,20,1,3,8,0
615,10804633,3,6.0,10.0,0.0,0.375,0.625,0.0,1,0,7,3,4,5,0
616,A7771,2,0.0,136.0,0.0,0.0,1.0,0.0,1,0,32,47,4,4,0
617,10864543,5,57.5,12.0,0.0,0.8273381294964028,0.17266187050359713,0.0,1,35,64,57,6,6,1
618,10895391,5,34.0,36.0,0.0,0.4857142857142857,0.5142857142857142,0.0,1,7,161,45,7,16,1
619,10801920,2,5.75,1.0,0.0,0.8518518518518519,0.14814814814814814,0.0,1,4,29,41,2,7,1
620,10804171,3,30.5,200.0,0.0,0.13232104121475055,0.8676789587852495,0.0,2,50,99,66,5,7,0
621,10804330,2,0.0,14.25,0.0,0.0,1.0,0.0,1,3,25,9,2,5,0
622,10832045,9,44.5,4.0,0.0,0.9175257731958762,0.08247422680412371,0.0,1,61,103,115,15,10,1
623,10805176,4,17.0,31.5,0.0,0.35051546391752575,0.6494845360824743,0.0,1,40,60,61,6,4,1
624,10804843,6,197.75,70.0,0.0,0.738562091503268,0.26143790849673204,0.0,1,142,190,248,12,5,1
625,10936044,2,34.0,7.25,0.0,0.8242424242424242,0.17575757575757575,0.0,1,22,165,17,2,6,1
626,10803641,3,5.0,35.0,0.0,0.125,0.875,0.0,1,6,76,17,3,4,1
627,10805027,5,17.0,1.0,0.0,0.9444444444444444,0.05555555555555555,0.0,1,79,144,111,9,4,0
628,A7035,5,0.0,25.0,0.0,0.0,1.0,0.0,1,2,56,90,8,5,0
629,A7392,5,1.5,2.0,0.0,0.42857142857142855,0.5714285714285714,0.0,1,0,19,37,6,6,1
630,N8526,2,111.5,77.5,0.0,0.58994708994709,0.41005291005291006,0.0,2,19,85,76,4,4,1
631,10840720,2,0.0,88.0,0.0,0.0,1.0,0.0,1,0,11,20,5,4,0
632,A7779,3,0.0,286.0,0.0,0.0,1.0,0.0,1,4,29,28,5,4,0
633,10794742,3,61.0,30.0,0.0,0.6703296703296703,0.32967032967032966,0.0,1,4,90,16,4,4,1
634,A7593,5,71.0,21.0,0.0,0.7717391304347826,0.22826086956521738,0.0,1,23,70,67,9,6,1
635,10851363,1,0.0,46.0,0.0,0.0,1.0,0.0,1,0,44,8,2,4,0
636,10832725,5,79.75,61.0,0.0,0.566607460035524,0.433392539964476,0.0,2,46,68,170,12,6,0
637,10868319,5,17.5,39.0,0.0,0.30973451327433627,0.6902654867256637,0.0,1,41,87,139,7,4,1
638,10804883,3,24.0,12.0,0.0,0.6666666666666666,0.3333333333333333,0.0,1,1,18,24,5,7,0
639,10725691,5,8.75,25.5,0.0,0.25547445255474455,0.7445255474452555,0.0,2,12,58,190,10,6,0
640,10850091,5,71.5,82.0,0.0,0.46579804560260585,0.5342019543973942,0.0,1,8,39,12,5,8,0
641,10804067,5,381.0,39.25,0.0,0.9066032123735871,0.09339678762641285,0.0,2,16,53,197,9,4,0
642,10850619,4,61.75,57.5,0.0,0.5178197064989518,0.48218029350104824,0.0,1,2,18,18,6,8,1
643,10838595,4,13.25,169.75,0.0,0.07240437158469945,0.9275956284153005,0.0,1,92,195,297,12,9,0
644,10804376,2,975.5,952.0,0.0,0.5060959792477302,0.4939040207522698,0.0,2,66,172,115,8,4,0
645,10804081,2,0.0,169.5,0.0,0.0,1.0,0.0,1,13,63,42,5,8,0
646,10805246,2,0.0,31.0,0.0,0.0,1.0,0.0,1,2,11,14,3,5,0
647,10803646,1,0.0,49.0,0.0,0.0,1.0,0.0,1,3,20,2,1,5,1
648,10803878,3,101.5,47.5,0.0,0.6812080536912751,0.3187919463087248,0.0,2,17,32,28,6,4,0
649,10853529,4,114.0,120.0,0.0,0.48717948717948717,0.5128205128205128,0.0,3,132,457,196,7,11,0
